
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.0003599999999999992
Epoch   0/100: Train Loss=0.6954, Acc=0.6107, Val Loss=0.6362, Acc=0.6364, LR=0.000384
Epoch  10/100: Train Loss=0.5010, Acc=0.7405, Val Loss=0.6836, Acc=0.6667, LR=0.002953
Epoch  20/100: Train Loss=0.5293, Acc=0.7328, Val Loss=0.8801, Acc=0.6970, LR=0.007271
Epoch  30/100: Train Loss=0.5398, Acc=0.7405, Val Loss=0.5394, Acc=0.7273, LR=0.008993
Epoch  40/100: Train Loss=0.5073, Acc=0.7786, Val Loss=0.6145, Acc=0.6970, LR=0.008443
Epoch  50/100: Train Loss=0.5856, Acc=0.6947, Val Loss=0.5744, Acc=0.7576, LR=0.007112
Epoch  60/100: Train Loss=0.5661, Acc=0.7252, Val Loss=0.6605, Acc=0.6667, LR=0.005264
Epoch  70/100: Train Loss=0.5691, Acc=0.7328, Val Loss=0.8165, Acc=0.6667, LR=0.003264
Epoch  80/100: Train Loss=0.5211, Acc=0.7634, Val Loss=0.6962, Acc=0.6667, LR=0.001509
Epoch  90/100: Train Loss=0.5204, Acc=0.7405, Val Loss=0.8112, Acc=0.6667, LR=0.000347
Epoch  99/100: Train Loss=0.4949, Acc=0.7786, Val Loss=0.8101, Acc=0.6667, LR=0.000001

Best validation accuracy: 0.7576 at epoch 14
