
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.003600000000000006
Epoch   0/100: Train Loss=0.7343, Acc=0.5496, Val Loss=0.6192, Acc=0.6970, LR=0.003840
Epoch  10/100: Train Loss=0.6796, Acc=0.4885, Val Loss=0.7015, Acc=0.3030, LR=0.029535
Epoch  20/100: Train Loss=0.6572, Acc=0.6412, Val Loss=0.6135, Acc=0.6970, LR=0.072705
Epoch  30/100: Train Loss=0.6534, Acc=0.6412, Val Loss=0.6135, Acc=0.6970, LR=0.089935
Epoch  40/100: Train Loss=0.6674, Acc=0.6412, Val Loss=0.6134, Acc=0.6970, LR=0.084434
Epoch  50/100: Train Loss=0.6562, Acc=0.6412, Val Loss=0.6166, Acc=0.6970, LR=0.071123
Epoch  60/100: Train Loss=0.6548, Acc=0.6412, Val Loss=0.6221, Acc=0.6970, LR=0.052639
Epoch  70/100: Train Loss=0.6532, Acc=0.6412, Val Loss=0.6237, Acc=0.6970, LR=0.032642
Epoch  80/100: Train Loss=0.6466, Acc=0.6412, Val Loss=1.3107, Acc=0.6970, LR=0.015093
Epoch  90/100: Train Loss=0.6528, Acc=0.6412, Val Loss=0.6222, Acc=0.6970, LR=0.003468
Epoch  99/100: Train Loss=0.6528, Acc=0.6412, Val Loss=0.6219, Acc=0.6970, LR=0.000005

Best validation accuracy: 0.7273 at epoch 8
