
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 3.600000000000006e-06
Epoch   0/100: Train Loss=0.7421, Acc=0.5191, Val Loss=0.6055, Acc=0.6667, LR=0.000004
Epoch  10/100: Train Loss=0.7112, Acc=0.5496, Val Loss=0.6241, Acc=0.6061, LR=0.000030
Epoch  20/100: Train Loss=0.5999, Acc=0.6641, Val Loss=0.5916, Acc=0.6364, LR=0.000073
Epoch  30/100: Train Loss=0.5191, Acc=0.7634, Val Loss=0.6284, Acc=0.6061, LR=0.000090
Epoch  40/100: Train Loss=0.4684, Acc=0.7557, Val Loss=0.5784, Acc=0.6970, LR=0.000084
Epoch  50/100: Train Loss=0.4847, Acc=0.7328, Val Loss=0.5725, Acc=0.6970, LR=0.000071
Epoch  60/100: Train Loss=0.4696, Acc=0.7634, Val Loss=0.5752, Acc=0.6667, LR=0.000053
Epoch  70/100: Train Loss=0.4488, Acc=0.7634, Val Loss=0.5832, Acc=0.6970, LR=0.000033
Epoch  80/100: Train Loss=0.4275, Acc=0.7939, Val Loss=0.5948, Acc=0.6970, LR=0.000015
Epoch  90/100: Train Loss=0.4649, Acc=0.7481, Val Loss=0.5985, Acc=0.6970, LR=0.000003
Epoch  99/100: Train Loss=0.4467, Acc=0.8092, Val Loss=0.5907, Acc=0.6970, LR=0.000000

Best validation accuracy: 0.7273 at epoch 15
