
Starting training...
Model architecture: planar
Hidden dim: 64, Layers: 3
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.6895, Acc=0.5267, Val Loss=0.7024, Acc=0.3030, LR=0.000128
Epoch  10/100: Train Loss=0.5232, Acc=0.7176, Val Loss=0.5955, Acc=0.7273, LR=0.000984
Epoch  20/100: Train Loss=0.4327, Acc=0.7634, Val Loss=4.5114, Acc=0.6970, LR=0.002424
Epoch  30/100: Train Loss=0.3980, Acc=0.8321, Val Loss=4.3354, Acc=0.6970, LR=0.002998
Epoch  40/100: Train Loss=0.3989, Acc=0.8397, Val Loss=1.3830, Acc=0.5758, LR=0.002814
Epoch  50/100: Train Loss=0.4413, Acc=0.8168, Val Loss=0.8170, Acc=0.6364, LR=0.002371
Epoch  60/100: Train Loss=0.3590, Acc=0.8244, Val Loss=0.7496, Acc=0.6970, LR=0.001755
Epoch  70/100: Train Loss=0.2838, Acc=0.9008, Val Loss=0.7018, Acc=0.6364, LR=0.001088
Epoch  80/100: Train Loss=0.2276, Acc=0.9084, Val Loss=0.7527, Acc=0.6061, LR=0.000503
Epoch  90/100: Train Loss=0.1341, Acc=0.9924, Val Loss=0.8271, Acc=0.6364, LR=0.000116
Epoch  99/100: Train Loss=0.1951, Acc=0.9160, Val Loss=0.8923, Acc=0.6364, LR=0.000000

Best validation accuracy: 0.7273 at epoch 5
