
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.0003599999999999992
Epoch   0/100: Train Loss=0.8247, Acc=0.4656, Val Loss=0.6757, Acc=0.4848, LR=0.000384
Epoch  10/100: Train Loss=0.5552, Acc=0.6565, Val Loss=0.5134, Acc=0.6667, LR=0.002953
Epoch  20/100: Train Loss=0.5232, Acc=0.7405, Val Loss=0.9848, Acc=0.6667, LR=0.007271
Epoch  30/100: Train Loss=0.6040, Acc=0.6794, Val Loss=0.6222, Acc=0.6061, LR=0.008993
Epoch  40/100: Train Loss=0.6430, Acc=0.7328, Val Loss=0.6689, Acc=0.6364, LR=0.008443
Epoch  50/100: Train Loss=0.6529, Acc=0.6412, Val Loss=0.6224, Acc=0.6970, LR=0.007112
Epoch  60/100: Train Loss=0.6527, Acc=0.6412, Val Loss=0.6204, Acc=0.6970, LR=0.005264
Epoch  70/100: Train Loss=0.6527, Acc=0.6412, Val Loss=0.6212, Acc=0.6970, LR=0.003264
Epoch  80/100: Train Loss=0.6528, Acc=0.6412, Val Loss=0.6192, Acc=0.6970, LR=0.001509
Epoch  90/100: Train Loss=0.6527, Acc=0.6412, Val Loss=0.6194, Acc=0.6970, LR=0.000347
Epoch  99/100: Train Loss=0.6527, Acc=0.6412, Val Loss=0.6195, Acc=0.6970, LR=0.000001

Best validation accuracy: 0.7576 at epoch 37
