
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 3.600000000000001e-05
Epoch   0/100: Train Loss=0.7360, Acc=0.5115, Val Loss=0.6047, Acc=0.6667, LR=0.000038
Epoch  10/100: Train Loss=0.5429, Acc=0.7328, Val Loss=0.6245, Acc=0.6667, LR=0.000295
Epoch  20/100: Train Loss=0.4796, Acc=0.7557, Val Loss=0.5569, Acc=0.7273, LR=0.000727
Epoch  30/100: Train Loss=0.4237, Acc=0.7481, Val Loss=0.6245, Acc=0.7273, LR=0.000899
Epoch  40/100: Train Loss=0.4487, Acc=0.7939, Val Loss=0.5065, Acc=0.7576, LR=0.000844
Epoch  50/100: Train Loss=0.4020, Acc=0.8015, Val Loss=0.6026, Acc=0.6970, LR=0.000711
Epoch  60/100: Train Loss=0.3741, Acc=0.8321, Val Loss=0.9216, Acc=0.6364, LR=0.000526
Epoch  70/100: Train Loss=0.3115, Acc=0.8931, Val Loss=0.5815, Acc=0.6970, LR=0.000326
Epoch  80/100: Train Loss=0.2719, Acc=0.8779, Val Loss=0.5336, Acc=0.6970, LR=0.000151
Epoch  90/100: Train Loss=0.2880, Acc=0.8626, Val Loss=0.5486, Acc=0.7576, LR=0.000035
Epoch  99/100: Train Loss=0.2451, Acc=0.9008, Val Loss=0.5418, Acc=0.7576, LR=0.000000

Best validation accuracy: 0.8485 at epoch 67
