
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 3
Initial LR: 3.600000000000006e-06
Epoch   0/100: Train Loss=0.6517, Acc=0.6031, Val Loss=0.6445, Acc=0.7576, LR=0.000004
Epoch  10/100: Train Loss=0.6698, Acc=0.5954, Val Loss=0.5284, Acc=0.7273, LR=0.000030
Epoch  20/100: Train Loss=0.5741, Acc=0.7176, Val Loss=0.5146, Acc=0.7273, LR=0.000073
Epoch  30/100: Train Loss=0.5683, Acc=0.6641, Val Loss=0.5088, Acc=0.7273, LR=0.000090
Epoch  40/100: Train Loss=0.5468, Acc=0.6947, Val Loss=0.5135, Acc=0.6970, LR=0.000084
Epoch  50/100: Train Loss=0.5129, Acc=0.7328, Val Loss=0.5210, Acc=0.6970, LR=0.000071
Epoch  60/100: Train Loss=0.5167, Acc=0.7405, Val Loss=0.5236, Acc=0.7273, LR=0.000053
Epoch  70/100: Train Loss=0.4826, Acc=0.7557, Val Loss=0.5167, Acc=0.6667, LR=0.000033
Epoch  80/100: Train Loss=0.4947, Acc=0.7405, Val Loss=0.5077, Acc=0.6970, LR=0.000015
Epoch  90/100: Train Loss=0.5448, Acc=0.7481, Val Loss=0.5067, Acc=0.7273, LR=0.000003
Epoch  99/100: Train Loss=0.5092, Acc=0.7252, Val Loss=0.5093, Acc=0.6667, LR=0.000000

Best validation accuracy: 0.7879 at epoch 12
