
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 3
Initial LR: 3.600000000000006e-06
Epoch   0/100: Train Loss=1.0976, Acc=0.5878, Val Loss=0.5988, Acc=0.6970, LR=0.000004
Epoch  10/100: Train Loss=0.9201, Acc=0.6031, Val Loss=0.7096, Acc=0.6667, LR=0.000030
Epoch  20/100: Train Loss=0.7151, Acc=0.5878, Val Loss=0.6061, Acc=0.6667, LR=0.000073
Epoch  30/100: Train Loss=0.6072, Acc=0.6489, Val Loss=0.6192, Acc=0.6364, LR=0.000090
Epoch  40/100: Train Loss=0.5390, Acc=0.6947, Val Loss=0.5925, Acc=0.5758, LR=0.000084
Epoch  50/100: Train Loss=0.5486, Acc=0.7176, Val Loss=0.6119, Acc=0.6667, LR=0.000071
Epoch  60/100: Train Loss=0.5581, Acc=0.6870, Val Loss=0.5887, Acc=0.6061, LR=0.000053
Epoch  70/100: Train Loss=0.5745, Acc=0.6412, Val Loss=0.5900, Acc=0.6364, LR=0.000033
Epoch  80/100: Train Loss=0.5462, Acc=0.6718, Val Loss=0.6014, Acc=0.6667, LR=0.000015
Epoch  90/100: Train Loss=0.5455, Acc=0.6947, Val Loss=0.5849, Acc=0.6667, LR=0.000003
Epoch  99/100: Train Loss=0.5408, Acc=0.6947, Val Loss=0.5874, Acc=0.6364, LR=0.000000

Best validation accuracy: 0.6970 at epoch 0
