
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=1.1047, Acc=0.3664, Val Loss=0.7580, Acc=0.4545, LR=0.000064
Epoch  10/100: Train Loss=0.5292, Acc=0.7481, Val Loss=0.5504, Acc=0.6667, LR=0.000492
Epoch  20/100: Train Loss=0.4321, Acc=0.7786, Val Loss=0.6260, Acc=0.7273, LR=0.001212
Epoch  30/100: Train Loss=0.4371, Acc=0.7863, Val Loss=0.5897, Acc=0.6667, LR=0.001499
Epoch  40/100: Train Loss=0.3338, Acc=0.8779, Val Loss=0.7256, Acc=0.7576, LR=0.001407
Epoch  50/100: Train Loss=0.2893, Acc=0.8779, Val Loss=0.7690, Acc=0.6667, LR=0.001185
Epoch  60/100: Train Loss=0.2890, Acc=0.9008, Val Loss=0.5261, Acc=0.7879, LR=0.000877
Epoch  70/100: Train Loss=0.3283, Acc=0.8626, Val Loss=0.6865, Acc=0.7576, LR=0.000544
Epoch  80/100: Train Loss=0.2092, Acc=0.9160, Val Loss=0.5538, Acc=0.7576, LR=0.000252
Epoch  90/100: Train Loss=0.1569, Acc=0.9771, Val Loss=0.6061, Acc=0.7273, LR=0.000058
Epoch  99/100: Train Loss=0.1368, Acc=0.9695, Val Loss=0.6198, Acc=0.7273, LR=0.000000

Best validation accuracy: 0.8182 at epoch 21
