
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=0.9009, Acc=0.6260, Val Loss=0.5936, Acc=0.6970, LR=0.000064
Epoch  10/100: Train Loss=0.4919, Acc=0.7328, Val Loss=0.5281, Acc=0.7273, LR=0.000492
Epoch  20/100: Train Loss=0.4874, Acc=0.7710, Val Loss=0.5495, Acc=0.7273, LR=0.001212
Epoch  30/100: Train Loss=0.4715, Acc=0.8015, Val Loss=0.5059, Acc=0.7576, LR=0.001499
Epoch  40/100: Train Loss=0.2952, Acc=0.8473, Val Loss=0.5658, Acc=0.7879, LR=0.001407
Epoch  50/100: Train Loss=0.2819, Acc=0.8931, Val Loss=0.7956, Acc=0.6970, LR=0.001185
Epoch  60/100: Train Loss=0.2694, Acc=0.8779, Val Loss=0.8196, Acc=0.7576, LR=0.000877
Epoch  70/100: Train Loss=0.2310, Acc=0.9160, Val Loss=0.8346, Acc=0.7576, LR=0.000544
Epoch  80/100: Train Loss=0.1823, Acc=0.9313, Val Loss=0.7475, Acc=0.7576, LR=0.000252
Epoch  90/100: Train Loss=0.1381, Acc=0.9695, Val Loss=0.8672, Acc=0.7576, LR=0.000058
Epoch  99/100: Train Loss=0.1496, Acc=0.9542, Val Loss=0.8321, Acc=0.7576, LR=0.000000

Best validation accuracy: 0.8485 at epoch 48
