
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=1.0239, Acc=0.6107, Val Loss=0.6088, Acc=0.6970, LR=0.000064
Epoch  10/100: Train Loss=0.5649, Acc=0.7099, Val Loss=0.6840, Acc=0.5152, LR=0.000492
Epoch  20/100: Train Loss=0.4068, Acc=0.8092, Val Loss=0.9894, Acc=0.6061, LR=0.001212
Epoch  30/100: Train Loss=0.2161, Acc=0.9084, Val Loss=1.4808, Acc=0.6364, LR=0.001499
Epoch  40/100: Train Loss=0.2083, Acc=0.9237, Val Loss=1.2530, Acc=0.6364, LR=0.001407
Epoch  50/100: Train Loss=0.2633, Acc=0.8550, Val Loss=1.4563, Acc=0.6364, LR=0.001185
Epoch  60/100: Train Loss=0.1332, Acc=0.9542, Val Loss=1.6402, Acc=0.6667, LR=0.000877
Epoch  70/100: Train Loss=0.1200, Acc=0.9542, Val Loss=1.3417, Acc=0.5758, LR=0.000544
Epoch  80/100: Train Loss=0.1131, Acc=0.9542, Val Loss=1.7521, Acc=0.6364, LR=0.000252
Epoch  90/100: Train Loss=0.0810, Acc=0.9695, Val Loss=1.7333, Acc=0.5758, LR=0.000058
Epoch  99/100: Train Loss=0.0883, Acc=0.9542, Val Loss=1.7706, Acc=0.6061, LR=0.000000

Best validation accuracy: 0.6970 at epoch 0
