
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 1.200000000000002e-05
Epoch   0/100: Train Loss=0.8826, Acc=0.5115, Val Loss=0.6909, Acc=0.5758, LR=0.000013
Epoch  10/100: Train Loss=0.7701, Acc=0.5496, Val Loss=0.6359, Acc=0.7576, LR=0.000098
Epoch  20/100: Train Loss=0.6840, Acc=0.5954, Val Loss=0.6084, Acc=0.6970, LR=0.000242
Epoch  30/100: Train Loss=0.6639, Acc=0.6794, Val Loss=0.6140, Acc=0.6970, LR=0.000300
Epoch  40/100: Train Loss=0.6453, Acc=0.6412, Val Loss=0.6040, Acc=0.6970, LR=0.000281
Epoch  50/100: Train Loss=0.6206, Acc=0.6489, Val Loss=0.6086, Acc=0.6970, LR=0.000237
Epoch  60/100: Train Loss=0.5717, Acc=0.7099, Val Loss=0.6096, Acc=0.7273, LR=0.000175
Epoch  70/100: Train Loss=0.5402, Acc=0.6947, Val Loss=0.6082, Acc=0.6970, LR=0.000109
Epoch  80/100: Train Loss=0.5638, Acc=0.6947, Val Loss=0.6094, Acc=0.6970, LR=0.000050
Epoch  90/100: Train Loss=0.5808, Acc=0.6641, Val Loss=0.6050, Acc=0.7273, LR=0.000012
Epoch  99/100: Train Loss=0.5690, Acc=0.6718, Val Loss=0.6091, Acc=0.7273, LR=0.000000

Best validation accuracy: 0.7576 at epoch 8
