
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=0.7965, Acc=0.5191, Val Loss=0.6648, Acc=0.6667, LR=0.000064
Epoch  10/100: Train Loss=0.6447, Acc=0.6336, Val Loss=0.6251, Acc=0.6970, LR=0.000492
Epoch  20/100: Train Loss=0.6674, Acc=0.6336, Val Loss=0.6449, Acc=0.6970, LR=0.001212
Epoch  30/100: Train Loss=0.6753, Acc=0.6336, Val Loss=0.6337, Acc=0.6970, LR=0.001499
Epoch  40/100: Train Loss=0.6514, Acc=0.6489, Val Loss=0.6344, Acc=0.6970, LR=0.001407
Epoch  50/100: Train Loss=0.6006, Acc=0.6489, Val Loss=0.6358, Acc=0.6970, LR=0.001185
Epoch  60/100: Train Loss=0.5754, Acc=0.6718, Val Loss=0.6292, Acc=0.7273, LR=0.000877
Epoch  70/100: Train Loss=0.6014, Acc=0.6565, Val Loss=0.6245, Acc=0.6970, LR=0.000544
Epoch  80/100: Train Loss=0.5663, Acc=0.6412, Val Loss=0.6231, Acc=0.7273, LR=0.000252
Epoch  90/100: Train Loss=0.6068, Acc=0.6489, Val Loss=0.6285, Acc=0.6970, LR=0.000058
Epoch  99/100: Train Loss=0.5792, Acc=0.6947, Val Loss=0.6257, Acc=0.7273, LR=0.000000

Best validation accuracy: 0.7273 at epoch 60
