
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 0.0007134563078049494
Epoch   0/100: Train Loss=0.7488, Acc=0.5223, Val Loss=0.6907, Acc=0.5436, LR=0.000760
Epoch  10/100: Train Loss=0.6625, Acc=0.6026, Val Loss=0.6893, Acc=0.5470, LR=0.005801
Epoch  20/100: Train Loss=0.6877, Acc=0.5563, Val Loss=0.6907, Acc=0.5401, LR=0.014321
Epoch  30/100: Train Loss=0.6938, Acc=0.4917, Val Loss=0.6963, Acc=0.4948, LR=0.017827
Epoch  40/100: Train Loss=0.6939, Acc=0.4934, Val Loss=0.6939, Acc=0.4948, LR=0.016766
Epoch  50/100: Train Loss=0.6935, Acc=0.4882, Val Loss=0.6956, Acc=0.4948, LR=0.014151
Epoch  60/100: Train Loss=0.6931, Acc=0.5127, Val Loss=0.6936, Acc=0.4948, LR=0.010500
Epoch  70/100: Train Loss=0.6930, Acc=0.5127, Val Loss=0.6940, Acc=0.4948, LR=0.006535
Epoch  80/100: Train Loss=0.6931, Acc=0.5127, Val Loss=0.6940, Acc=0.4948, LR=0.003043
Epoch  90/100: Train Loss=0.6928, Acc=0.5127, Val Loss=0.6937, Acc=0.4948, LR=0.000714
Epoch  99/100: Train Loss=0.6928, Acc=0.5127, Val Loss=0.6937, Acc=0.4948, LR=0.000001

Best validation accuracy: 0.6028 at epoch 7
