
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 0.0007134563078049494
Epoch   0/100: Train Loss=0.6815, Acc=0.5883, Val Loss=0.6663, Acc=0.5979, LR=0.000760
Epoch  10/100: Train Loss=0.6014, Acc=0.6487, Val Loss=0.6683, Acc=0.5853, LR=0.005794
Epoch  20/100: Train Loss=0.6762, Acc=0.5941, Val Loss=0.6739, Acc=0.5979, LR=0.014309
Epoch  30/100: Train Loss=0.6760, Acc=0.5941, Val Loss=0.6741, Acc=0.5979, LR=0.017827
Epoch  40/100: Train Loss=0.6764, Acc=0.5941, Val Loss=0.6740, Acc=0.5979, LR=0.016771
Epoch  50/100: Train Loss=0.6759, Acc=0.5941, Val Loss=0.6739, Acc=0.5979, LR=0.014159
Epoch  60/100: Train Loss=0.6757, Acc=0.5941, Val Loss=0.6739, Acc=0.5979, LR=0.010510
Epoch  70/100: Train Loss=0.6757, Acc=0.5941, Val Loss=0.6741, Acc=0.5979, LR=0.006545
Epoch  80/100: Train Loss=0.6755, Acc=0.5941, Val Loss=0.6739, Acc=0.5979, LR=0.003050
Epoch  90/100: Train Loss=0.6754, Acc=0.5941, Val Loss=0.6739, Acc=0.5979, LR=0.000718
Epoch  99/100: Train Loss=0.6753, Acc=0.5941, Val Loss=0.6739, Acc=0.5979, LR=0.000001

Best validation accuracy: 0.6830 at epoch 7
