
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=1.0419, Acc=0.3664, Val Loss=0.7057, Acc=0.4848, LR=0.000128
Epoch  10/100: Train Loss=0.4650, Acc=0.7405, Val Loss=0.6088, Acc=0.6364, LR=0.000984
Epoch  20/100: Train Loss=0.4815, Acc=0.7634, Val Loss=0.6757, Acc=0.7273, LR=0.002424
Epoch  30/100: Train Loss=0.4440, Acc=0.7863, Val Loss=1.0725, Acc=0.6970, LR=0.002998
Epoch  40/100: Train Loss=0.3944, Acc=0.8397, Val Loss=0.5622, Acc=0.7273, LR=0.002814
Epoch  50/100: Train Loss=0.3951, Acc=0.7939, Val Loss=0.6178, Acc=0.7273, LR=0.002371
Epoch  60/100: Train Loss=0.4272, Acc=0.7710, Val Loss=0.4758, Acc=0.7273, LR=0.001755
Epoch  70/100: Train Loss=0.4032, Acc=0.8321, Val Loss=0.4646, Acc=0.7879, LR=0.001088
Epoch  80/100: Train Loss=0.2638, Acc=0.9237, Val Loss=0.5236, Acc=0.7879, LR=0.000503
Epoch  90/100: Train Loss=0.2460, Acc=0.9008, Val Loss=0.5169, Acc=0.7273, LR=0.000116
Epoch  99/100: Train Loss=0.2064, Acc=0.9237, Val Loss=0.5105, Acc=0.7879, LR=0.000000

Best validation accuracy: 0.8182 at epoch 62
