
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.7039, Acc=0.5725, Val Loss=0.6468, Acc=0.6364, LR=0.000128
Epoch  10/100: Train Loss=0.4453, Acc=0.7863, Val Loss=0.6764, Acc=0.6970, LR=0.000984
Epoch  20/100: Train Loss=0.4102, Acc=0.8092, Val Loss=1.1600, Acc=0.5758, LR=0.002424
Epoch  30/100: Train Loss=0.2205, Acc=0.9084, Val Loss=1.3931, Acc=0.6364, LR=0.002998
Epoch  40/100: Train Loss=0.3191, Acc=0.8931, Val Loss=1.2355, Acc=0.6364, LR=0.002814
Epoch  50/100: Train Loss=0.2542, Acc=0.8550, Val Loss=1.0561, Acc=0.6970, LR=0.002371
Epoch  60/100: Train Loss=0.1461, Acc=0.9313, Val Loss=1.0761, Acc=0.6061, LR=0.001755
Epoch  70/100: Train Loss=0.1897, Acc=0.9237, Val Loss=1.0877, Acc=0.6667, LR=0.001088
Epoch  80/100: Train Loss=0.1075, Acc=0.9618, Val Loss=1.4739, Acc=0.6061, LR=0.000503
Epoch  90/100: Train Loss=0.0773, Acc=0.9695, Val Loss=1.5760, Acc=0.6364, LR=0.000116
Epoch  99/100: Train Loss=0.0722, Acc=0.9771, Val Loss=1.7054, Acc=0.6364, LR=0.000000

Best validation accuracy: 0.7576 at epoch 5
