2025-08-11 14:27:13,350 INFO    MainThread:32990 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_setup.py:_flush():81] Configure stats pid to 32990
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_setup.py:_flush():81] Loading settings from /home/rigers/.config/wandb/settings
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_setup.py:_flush():81] Loading settings from /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/settings
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/run-20250811_142713-cgfj7st5/logs/debug.log
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/run-20250811_142713-cgfj7st5/logs/debug-internal.log
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_init.py:init():831] calling init triggers
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_init.py:init():836] wandb.init called with sweep_config: {'config': 'config_custom.yaml', 'epochs': 100, 'learning_rate': 0.006810928704770562}
config: {'_wandb': {}}
2025-08-11 14:27:13,351 INFO    MainThread:32990 [wandb_init.py:init():872] starting backend
2025-08-11 14:27:13,557 INFO    MainThread:32990 [wandb_init.py:init():875] sending inform_init request
2025-08-11 14:27:13,560 INFO    MainThread:32990 [wandb_init.py:init():883] backend started and connected
2025-08-11 14:27:13,560 INFO    MainThread:32990 [wandb_run.py:_config_callback():1358] config_cb None None {'config': 'config_custom.yaml', 'epochs': 100, 'learning_rate': 0.006810928704770562}
2025-08-11 14:27:13,561 INFO    MainThread:32990 [wandb_init.py:init():956] updated telemetry
2025-08-11 14:27:13,564 INFO    MainThread:32990 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-08-11 14:27:14,011 INFO    MainThread:32990 [wandb_init.py:init():1032] starting run threads in backend
2025-08-11 14:27:14,088 INFO    MainThread:32990 [wandb_run.py:_console_start():2453] atexit reg
2025-08-11 14:27:14,088 INFO    MainThread:32990 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-08-11 14:27:14,088 INFO    MainThread:32990 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-08-11 14:27:14,088 INFO    MainThread:32990 [wandb_run.py:_redirect():2393] Redirects installed.
2025-08-11 14:27:14,089 INFO    MainThread:32990 [wandb_init.py:init():1078] run started, returning control to user process
2025-08-11 14:29:09,558 INFO    MsgRouterThr:32990 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
