
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.0007134563078049494
Epoch   0/100: Train Loss=0.7481, Acc=0.5725, Val Loss=0.5689, Acc=0.6970, LR=0.000761
Epoch  10/100: Train Loss=0.5292, Acc=0.7405, Val Loss=0.8526, Acc=0.4242, LR=0.005853
Epoch  20/100: Train Loss=0.5549, Acc=0.7405, Val Loss=0.5674, Acc=0.7273, LR=0.014409
Epoch  30/100: Train Loss=0.9829, Acc=0.5573, Val Loss=0.6528, Acc=0.6970, LR=0.017823
Epoch  40/100: Train Loss=0.6529, Acc=0.6412, Val Loss=0.6235, Acc=0.6970, LR=0.016733
Epoch  50/100: Train Loss=0.6530, Acc=0.6412, Val Loss=0.6177, Acc=0.6970, LR=0.014095
Epoch  60/100: Train Loss=0.6546, Acc=0.6412, Val Loss=0.6159, Acc=0.6970, LR=0.010432
Epoch  70/100: Train Loss=0.6528, Acc=0.6412, Val Loss=0.6218, Acc=0.6970, LR=0.006469
Epoch  80/100: Train Loss=0.6549, Acc=0.6412, Val Loss=0.6307, Acc=0.6970, LR=0.002991
Epoch  90/100: Train Loss=0.6546, Acc=0.6412, Val Loss=0.6293, Acc=0.6970, LR=0.000687
Epoch  99/100: Train Loss=0.6545, Acc=0.6412, Val Loss=0.6290, Acc=0.6970, LR=0.000001

Best validation accuracy: 0.7576 at epoch 3
