
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.0007134563078049494
Epoch   0/100: Train Loss=0.6655, Acc=0.6227, Val Loss=0.6632, Acc=0.6063, LR=0.000760
Epoch  10/100: Train Loss=0.5736, Acc=0.6908, Val Loss=0.5656, Acc=0.6585, LR=0.005801
Epoch  20/100: Train Loss=0.6582, Acc=0.5869, Val Loss=0.6245, Acc=0.6272, LR=0.014321
Epoch  30/100: Train Loss=0.6941, Acc=0.4987, Val Loss=0.6931, Acc=0.5052, LR=0.017827
Epoch  40/100: Train Loss=0.6946, Acc=0.4917, Val Loss=0.6939, Acc=0.4948, LR=0.016766
Epoch  50/100: Train Loss=0.6946, Acc=0.4900, Val Loss=0.6954, Acc=0.4948, LR=0.014151
Epoch  60/100: Train Loss=0.6929, Acc=0.5127, Val Loss=0.6940, Acc=0.4948, LR=0.010500
Epoch  70/100: Train Loss=0.6930, Acc=0.5127, Val Loss=0.6939, Acc=0.4948, LR=0.006535
Epoch  80/100: Train Loss=0.6930, Acc=0.5127, Val Loss=0.6936, Acc=0.4948, LR=0.003043
Epoch  90/100: Train Loss=0.6928, Acc=0.5127, Val Loss=0.6938, Acc=0.4948, LR=0.000714
Epoch  99/100: Train Loss=0.6928, Acc=0.5127, Val Loss=0.6937, Acc=0.4948, LR=0.000001

Best validation accuracy: 0.7247 at epoch 15
