
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=0.7083, Acc=0.5802, Test Loss=0.7091, Acc=0.5455, LR=0.000064
Epoch  10/100: Train Loss=0.4859, Acc=0.7252, Test Loss=0.6252, Acc=0.6970, LR=0.000492
Epoch  20/100: Train Loss=0.4819, Acc=0.7557, Test Loss=0.6298, Acc=0.6667, LR=0.001212
Epoch  30/100: Train Loss=0.4324, Acc=0.7863, Test Loss=0.5724, Acc=0.7273, LR=0.001499
Epoch  40/100: Train Loss=0.3280, Acc=0.8473, Test Loss=0.7167, Acc=0.6667, LR=0.001407
Epoch  50/100: Train Loss=0.4955, Acc=0.7557, Test Loss=0.5157, Acc=0.7273, LR=0.001185
Epoch  60/100: Train Loss=0.3529, Acc=0.8473, Test Loss=0.4613, Acc=0.7879, LR=0.000877
Epoch  70/100: Train Loss=0.3809, Acc=0.8015, Test Loss=0.4070, Acc=0.7879, LR=0.000544
Epoch  80/100: Train Loss=0.3187, Acc=0.8321, Test Loss=0.4821, Acc=0.7576, LR=0.000252
Epoch  90/100: Train Loss=0.2942, Acc=0.8397, Test Loss=0.5266, Acc=0.7576, LR=0.000058
Epoch  99/100: Train Loss=0.2794, Acc=0.8626, Test Loss=0.5328, Acc=0.7576, LR=0.000000

Best testidation accuracy: 0.8485 at epoch 69
