
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.0007134563078049494
Epoch   0/100: Train Loss=0.6371, Acc=0.6278, Test Loss=0.5926, Acc=0.6600, LR=0.000760
Epoch  10/100: Train Loss=0.6142, Acc=0.6823, Test Loss=0.6085, Acc=0.6236, LR=0.005799
Epoch  20/100: Train Loss=0.6153, Acc=0.6717, Test Loss=0.6100, Acc=0.6094, LR=0.014317
Epoch  30/100: Train Loss=0.6928, Acc=0.5238, Test Loss=0.6986, Acc=0.4052, LR=0.017827
Epoch  40/100: Train Loss=0.6928, Acc=0.5050, Test Loss=0.7131, Acc=0.4052, LR=0.016768
Epoch  50/100: Train Loss=0.6931, Acc=0.5238, Test Loss=0.7026, Acc=0.4052, LR=0.014154
Epoch  60/100: Train Loss=0.6924, Acc=0.5238, Test Loss=0.6971, Acc=0.4052, LR=0.010503
Epoch  70/100: Train Loss=0.6923, Acc=0.5238, Test Loss=0.7049, Acc=0.4052, LR=0.006538
Epoch  80/100: Train Loss=0.6923, Acc=0.5238, Test Loss=0.7000, Acc=0.4052, LR=0.003045
Epoch  90/100: Train Loss=0.6920, Acc=0.5238, Test Loss=0.7029, Acc=0.4052, LR=0.000715
Epoch  99/100: Train Loss=0.6920, Acc=0.5238, Test Loss=0.7032, Acc=0.4052, LR=0.000001

Best test accuracy: 0.7242 at epoch 18
