
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=0.7708, Acc=0.5954, Test Loss=0.7207, Acc=0.5455, LR=0.000064
Epoch  10/100: Train Loss=0.5505, Acc=0.7099, Test Loss=0.6535, Acc=0.6364, LR=0.000492
Epoch  20/100: Train Loss=0.5530, Acc=0.7863, Test Loss=0.7143, Acc=0.6667, LR=0.001212
Epoch  30/100: Train Loss=0.4773, Acc=0.7405, Test Loss=0.6277, Acc=0.6667, LR=0.001499
Epoch  40/100: Train Loss=0.3991, Acc=0.7481, Test Loss=0.6501, Acc=0.6970, LR=0.001407
Epoch  50/100: Train Loss=0.4813, Acc=0.7786, Test Loss=0.5604, Acc=0.6970, LR=0.001185
Epoch  60/100: Train Loss=0.4028, Acc=0.8015, Test Loss=0.5326, Acc=0.6667, LR=0.000877
Epoch  70/100: Train Loss=0.3773, Acc=0.8092, Test Loss=0.4528, Acc=0.7879, LR=0.000544
Epoch  80/100: Train Loss=0.4169, Acc=0.8015, Test Loss=0.5117, Acc=0.7576, LR=0.000252
Epoch  90/100: Train Loss=0.3630, Acc=0.8168, Test Loss=0.5459, Acc=0.7576, LR=0.000058
Epoch  99/100: Train Loss=0.3662, Acc=0.8397, Test Loss=0.5436, Acc=0.7879, LR=0.000000

Best test accuracy: 0.8182 at epoch 73
