
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.0009000000000000015
Epoch   0/100: Train Loss=0.7671, Acc=0.6098, Test Loss=0.7111, Acc=0.5426, LR=0.000960
Epoch  10/100: Train Loss=0.6557, Acc=0.7012, Test Loss=0.9295, Acc=0.5796, LR=0.007371
Epoch  20/100: Train Loss=0.6417, Acc=0.6585, Test Loss=0.6977, Acc=0.5189, LR=0.018155
Epoch  30/100: Train Loss=0.5704, Acc=0.6524, Test Loss=0.8734, Acc=0.5091, LR=0.022485
Epoch  40/100: Train Loss=0.6472, Acc=0.6524, Test Loss=0.7285, Acc=0.5091, LR=0.021117
Epoch  50/100: Train Loss=0.6488, Acc=0.6524, Test Loss=0.7175, Acc=0.5091, LR=0.017795
Epoch  60/100: Train Loss=0.6471, Acc=0.6524, Test Loss=0.7510, Acc=0.5091, LR=0.013176
Epoch  70/100: Train Loss=0.6459, Acc=0.6524, Test Loss=0.7420, Acc=0.5091, LR=0.008177
Epoch  80/100: Train Loss=0.6463, Acc=0.6524, Test Loss=0.7284, Acc=0.5091, LR=0.003786
Epoch  90/100: Train Loss=0.6461, Acc=0.6524, Test Loss=0.7311, Acc=0.5091, LR=0.000873
Epoch  99/100: Train Loss=0.6460, Acc=0.6524, Test Loss=0.7316, Acc=0.5091, LR=0.000001

Best test accuracy: 0.6753 at epoch 6
