
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.6764, Acc=0.6641, Test Loss=0.6606, Acc=0.6970, LR=0.000128
Epoch  10/100: Train Loss=0.6316, Acc=0.6718, Test Loss=0.6357, Acc=0.7273, LR=0.000984
Epoch  20/100: Train Loss=0.6103, Acc=0.6718, Test Loss=0.6995, Acc=0.6061, LR=0.002424
Epoch  30/100: Train Loss=0.5320, Acc=0.7405, Test Loss=0.6300, Acc=0.7273, LR=0.002998
Epoch  40/100: Train Loss=0.4329, Acc=0.7481, Test Loss=0.7579, Acc=0.5758, LR=0.002814
Epoch  50/100: Train Loss=0.4353, Acc=0.8168, Test Loss=0.7538, Acc=0.6667, LR=0.002371
Epoch  60/100: Train Loss=0.3926, Acc=0.8626, Test Loss=0.8641, Acc=0.6061, LR=0.001755
Epoch  70/100: Train Loss=0.3081, Acc=0.8321, Test Loss=1.0885, Acc=0.6061, LR=0.001088
Epoch  80/100: Train Loss=0.3004, Acc=0.8779, Test Loss=1.2171, Acc=0.6061, LR=0.000503
Epoch  90/100: Train Loss=0.3430, Acc=0.8473, Test Loss=1.2351, Acc=0.5455, LR=0.000116
Epoch  99/100: Train Loss=0.2860, Acc=0.8626, Test Loss=1.2309, Acc=0.5455, LR=0.000000

Best test accuracy: 0.7576 at epoch 32
