
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.8148, Acc=0.4198, Test Loss=0.6779, Acc=0.6061, LR=0.000128
Epoch  10/100: Train Loss=0.4730, Acc=0.7557, Test Loss=0.6174, Acc=0.6061, LR=0.000980
Epoch  20/100: Train Loss=0.2888, Acc=0.8702, Test Loss=1.0238, Acc=0.6970, LR=0.002416
Epoch  30/100: Train Loss=0.2709, Acc=0.9008, Test Loss=1.2913, Acc=0.6061, LR=0.002998
Epoch  40/100: Train Loss=0.3395, Acc=0.8321, Test Loss=1.1584, Acc=0.6364, LR=0.002817
Epoch  50/100: Train Loss=0.3366, Acc=0.8626, Test Loss=0.9092, Acc=0.7273, LR=0.002376
Epoch  60/100: Train Loss=0.2271, Acc=0.9313, Test Loss=0.9969, Acc=0.6364, LR=0.001761
Epoch  70/100: Train Loss=0.0721, Acc=0.9695, Test Loss=1.9776, Acc=0.6667, LR=0.001094
Epoch  80/100: Train Loss=0.0796, Acc=0.9695, Test Loss=1.9731, Acc=0.6970, LR=0.000508
Epoch  90/100: Train Loss=0.0577, Acc=0.9771, Test Loss=1.8388, Acc=0.6667, LR=0.000118
Epoch  99/100: Train Loss=0.0533, Acc=0.9847, Test Loss=1.9037, Acc=0.6667, LR=0.000000

Best test accuracy: 0.7576 at epoch 18
