
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.8414, Acc=0.4504, Test Loss=0.6794, Acc=0.6970, LR=0.000128
Epoch  10/100: Train Loss=0.6746, Acc=0.6260, Test Loss=0.6338, Acc=0.6970, LR=0.000984
Epoch  20/100: Train Loss=0.6533, Acc=0.6412, Test Loss=0.6314, Acc=0.6970, LR=0.002424
Epoch  30/100: Train Loss=0.6828, Acc=0.6107, Test Loss=0.6332, Acc=0.6970, LR=0.002998
Epoch  40/100: Train Loss=0.6375, Acc=0.6412, Test Loss=0.5744, Acc=0.6970, LR=0.002814
Epoch  50/100: Train Loss=0.6049, Acc=0.6565, Test Loss=0.6248, Acc=0.6970, LR=0.002371
Epoch  60/100: Train Loss=0.6104, Acc=0.6489, Test Loss=0.5271, Acc=0.6970, LR=0.001755
Epoch  70/100: Train Loss=0.5781, Acc=0.6336, Test Loss=0.6089, Acc=0.6970, LR=0.001088
Epoch  80/100: Train Loss=0.5381, Acc=0.6489, Test Loss=0.5524, Acc=0.6970, LR=0.000503
Epoch  90/100: Train Loss=0.5738, Acc=0.6412, Test Loss=0.5084, Acc=0.6970, LR=0.000116
Epoch  99/100: Train Loss=0.5910, Acc=0.6489, Test Loss=0.5113, Acc=0.6970, LR=0.000000

Best test accuracy: 0.6970 at epoch 0
