
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 3
Initial LR: 1.200000000000002e-05
Epoch   0/100: Train Loss=1.3221, Acc=0.3664, Test Loss=1.0540, Acc=0.3030, LR=0.000013
Epoch  10/100: Train Loss=0.8935, Acc=0.5344, Test Loss=1.0075, Acc=0.3030, LR=0.000098
Epoch  20/100: Train Loss=0.7477, Acc=0.5191, Test Loss=0.6505, Acc=0.6970, LR=0.000242
Epoch  30/100: Train Loss=0.6617, Acc=0.5573, Test Loss=0.6399, Acc=0.6667, LR=0.000300
Epoch  40/100: Train Loss=0.6059, Acc=0.6794, Test Loss=0.6293, Acc=0.6667, LR=0.000281
Epoch  50/100: Train Loss=0.6140, Acc=0.6489, Test Loss=0.6161, Acc=0.6970, LR=0.000237
Epoch  60/100: Train Loss=0.6453, Acc=0.6107, Test Loss=0.6283, Acc=0.6667, LR=0.000175
Epoch  70/100: Train Loss=0.6124, Acc=0.6489, Test Loss=0.6177, Acc=0.6667, LR=0.000109
Epoch  80/100: Train Loss=0.5910, Acc=0.6641, Test Loss=0.6069, Acc=0.6970, LR=0.000050
Epoch  90/100: Train Loss=0.6004, Acc=0.6794, Test Loss=0.6135, Acc=0.7273, LR=0.000012
Epoch  99/100: Train Loss=0.6140, Acc=0.6336, Test Loss=0.6145, Acc=0.6970, LR=0.000000

Best test accuracy: 0.7576 at epoch 91
