
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 3
Initial LR: 0.0011999999999999997
Epoch   0/100: Train Loss=0.9866, Acc=0.4275, Test Loss=0.6325, Acc=0.6970, LR=0.001280
Epoch  10/100: Train Loss=0.6221, Acc=0.6412, Test Loss=0.6118, Acc=0.6364, LR=0.009845
Epoch  20/100: Train Loss=0.6722, Acc=0.6260, Test Loss=0.6406, Acc=0.6970, LR=0.024235
Epoch  30/100: Train Loss=0.6535, Acc=0.6412, Test Loss=0.6165, Acc=0.6970, LR=0.029978
Epoch  40/100: Train Loss=0.6530, Acc=0.6412, Test Loss=0.6177, Acc=0.6970, LR=0.028145
Epoch  50/100: Train Loss=0.6537, Acc=0.6412, Test Loss=0.6253, Acc=0.6970, LR=0.023708
Epoch  60/100: Train Loss=0.6529, Acc=0.6412, Test Loss=0.6210, Acc=0.6970, LR=0.017546
Epoch  70/100: Train Loss=0.6531, Acc=0.6412, Test Loss=0.6173, Acc=0.6970, LR=0.010881
Epoch  80/100: Train Loss=0.6532, Acc=0.6412, Test Loss=0.6196, Acc=0.6970, LR=0.005031
Epoch  90/100: Train Loss=0.6527, Acc=0.6412, Test Loss=0.6194, Acc=0.6970, LR=0.001156
Epoch  99/100: Train Loss=0.6527, Acc=0.6412, Test Loss=0.6194, Acc=0.6970, LR=0.000002

Best test accuracy: 0.6970 at epoch 0
