
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.7246, Acc=0.5802, Test Loss=0.6721, Acc=0.7576, LR=0.000128
Epoch  10/100: Train Loss=0.6158, Acc=0.6794, Test Loss=0.5741, Acc=0.6970, LR=0.000991
Epoch  20/100: Train Loss=0.6419, Acc=0.6489, Test Loss=0.6498, Acc=0.6970, LR=0.002435
Epoch  30/100: Train Loss=0.6041, Acc=0.6260, Test Loss=0.5206, Acc=0.7273, LR=0.002997
Epoch  40/100: Train Loss=0.5381, Acc=0.7252, Test Loss=0.4976, Acc=0.7273, LR=0.002810
Epoch  50/100: Train Loss=0.6055, Acc=0.6412, Test Loss=0.5485, Acc=0.6970, LR=0.002363
Epoch  60/100: Train Loss=0.5530, Acc=0.6870, Test Loss=0.4688, Acc=0.6970, LR=0.001746
Epoch  70/100: Train Loss=0.4797, Acc=0.7710, Test Loss=0.4592, Acc=0.7273, LR=0.001079
Epoch  80/100: Train Loss=0.4711, Acc=0.7557, Test Loss=0.4768, Acc=0.7879, LR=0.000496
Epoch  90/100: Train Loss=0.4887, Acc=0.7557, Test Loss=0.4755, Acc=0.7576, LR=0.000112
Epoch  99/100: Train Loss=0.5248, Acc=0.7252, Test Loss=0.5024, Acc=0.7273, LR=0.000000

Best test accuracy: 0.8182 at epoch 35
