
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 3
Initial LR: 0.0005999999999999998
Epoch   0/100: Train Loss=0.7343, Acc=0.5878, Test Loss=0.6742, Acc=0.7273, LR=0.000640
Epoch  10/100: Train Loss=0.6873, Acc=0.6260, Test Loss=0.6465, Acc=0.6970, LR=0.004957
Epoch  20/100: Train Loss=0.6636, Acc=0.6412, Test Loss=0.6309, Acc=0.6970, LR=0.012175
Epoch  30/100: Train Loss=0.6575, Acc=0.6412, Test Loss=0.6350, Acc=0.6970, LR=0.014987
Epoch  40/100: Train Loss=0.6532, Acc=0.6412, Test Loss=0.6177, Acc=0.6970, LR=0.014051
Epoch  50/100: Train Loss=0.6527, Acc=0.6412, Test Loss=0.6238, Acc=0.6970, LR=0.011817
Epoch  60/100: Train Loss=0.6544, Acc=0.6412, Test Loss=0.6282, Acc=0.6970, LR=0.008729
Epoch  70/100: Train Loss=0.6532, Acc=0.6412, Test Loss=0.6242, Acc=0.6970, LR=0.005397
Epoch  80/100: Train Loss=0.6529, Acc=0.6412, Test Loss=0.6224, Acc=0.6970, LR=0.002482
Epoch  90/100: Train Loss=0.6528, Acc=0.6412, Test Loss=0.6223, Acc=0.6970, LR=0.000561
Epoch  99/100: Train Loss=0.6528, Acc=0.6412, Test Loss=0.6223, Acc=0.6970, LR=0.000001

Best test accuracy: 0.7576 at epoch 7
