2025-08-15 20:13:31,981 INFO    MainThread:12437 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_setup.py:_flush():81] Configure stats pid to 12437
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_setup.py:_flush():81] Loading settings from /home/rigers/.config/wandb/settings
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_setup.py:_flush():81] Loading settings from /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/settings
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/run-20250815_201331-ii2sjqeb/logs/debug.log
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/run-20250815_201331-ii2sjqeb/logs/debug-internal.log
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_init.py:init():831] calling init triggers
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_init.py:init():836] wandb.init called with sweep_config: {'batch_size': 48, 'config': 'configs/config.yaml', 'dropout': 0.3395770425225365, 'learning_rate': 0.000514702939889463, 'num_layers': 3, 'weight_decay': 8.64900793241668e-05}
config: {'_wandb': {}}
2025-08-15 20:13:31,982 INFO    MainThread:12437 [wandb_init.py:init():872] starting backend
2025-08-15 20:13:32,194 INFO    MainThread:12437 [wandb_init.py:init():875] sending inform_init request
2025-08-15 20:13:32,197 INFO    MainThread:12437 [wandb_init.py:init():883] backend started and connected
2025-08-15 20:13:32,197 INFO    MainThread:12437 [wandb_run.py:_config_callback():1358] config_cb None None {'batch_size': 48, 'config': 'configs/config.yaml', 'dropout': 0.3395770425225365, 'learning_rate': 0.000514702939889463, 'num_layers': 3, 'weight_decay': 8.64900793241668e-05}
2025-08-15 20:13:32,198 INFO    MainThread:12437 [wandb_init.py:init():956] updated telemetry
2025-08-15 20:13:32,203 INFO    MainThread:12437 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-08-15 20:13:32,652 INFO    MainThread:12437 [wandb_init.py:init():1032] starting run threads in backend
2025-08-15 20:13:32,738 INFO    MainThread:12437 [wandb_run.py:_console_start():2453] atexit reg
2025-08-15 20:13:32,738 INFO    MainThread:12437 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-08-15 20:13:32,738 INFO    MainThread:12437 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-08-15 20:13:32,738 INFO    MainThread:12437 [wandb_run.py:_redirect():2393] Redirects installed.
2025-08-15 20:13:32,740 INFO    MainThread:12437 [wandb_init.py:init():1078] run started, returning control to user process
2025-08-15 20:13:33,468 INFO    MainThread:12437 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/run-20250815_201333-ii2sjqeb/logs/debug.log
2025-08-15 20:13:33,468 INFO    MainThread:12437 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/rigers/Documents/GitHub/ML-correlator/GNN/wandb/run-20250815_201333-ii2sjqeb/logs/debug-internal.log
2025-08-15 20:13:33,469 INFO    MainThread:12437 [wandb_init.py:init():831] calling init triggers
2025-08-15 20:13:33,469 INFO    MainThread:12437 [wandb_init.py:init():836] wandb.init called with sweep_config: {'batch_size': 48, 'config': 'configs/config.yaml', 'dropout': 0.3395770425225365, 'learning_rate': 0.000514702939889463, 'num_layers': 3, 'weight_decay': 8.64900793241668e-05}
config: {'model_name': 'gin', 'hidden_channels': 32, 'num_layers': 3, 'dropout': 0.3395770425225365, 'lr': 0.000514702939889463, 'weight_decay': 5e-05, 'epochs': 100, 'batch_size': 48, 'scheduler_type': 'onecycle', 'use_wandb': True, 'project': '8_loop_eigen', 'experiment_name': 'gin_train_loop_8_,test_loop_8_train_eigen_1_eigen_2_eigen_3', 'in_channels': 3, '_wandb': {}}
2025-08-15 20:13:59,296 INFO    MainThread:12437 [wandb_run.py:_finish():2219] finishing run aliajrigers-desydeutsches-elektronen-synchrotron/8_loop_eigen/ii2sjqeb
2025-08-15 20:13:59,297 INFO    MainThread:12437 [wandb_run.py:_atexit_cleanup():2418] got exitcode: 0
2025-08-15 20:13:59,297 INFO    MainThread:12437 [wandb_run.py:_restore():2400] restore
2025-08-15 20:13:59,297 INFO    MainThread:12437 [wandb_run.py:_restore():2406] restore done
2025-08-15 20:14:00,542 INFO    MainThread:12437 [wandb_run.py:_footer_history_summary_info():4000] rendering history
2025-08-15 20:14:00,542 INFO    MainThread:12437 [wandb_run.py:_footer_history_summary_info():4032] rendering summary
2025-08-15 20:14:00,543 INFO    MainThread:12437 [wandb_run.py:_footer_sync_info():3961] logging synced files
