
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 0.0005999999999999998
Epoch   0/100: Train Loss=0.7100, Acc=0.5039, Test Loss=0.7031, Acc=0.4669, LR=0.000640
Epoch  10/100: Train Loss=0.6802, Acc=0.5328, Test Loss=0.6886, Acc=0.5819, LR=0.004879
Epoch  20/100: Train Loss=0.6934, Acc=0.5127, Test Loss=0.6935, Acc=0.4948, LR=0.012044
Epoch  30/100: Train Loss=0.6937, Acc=0.4926, Test Loss=0.6932, Acc=0.4948, LR=0.014992
Epoch  40/100: Train Loss=0.6935, Acc=0.5127, Test Loss=0.6940, Acc=0.4948, LR=0.014100
Epoch  50/100: Train Loss=0.6935, Acc=0.5127, Test Loss=0.6941, Acc=0.4948, LR=0.011901
Epoch  60/100: Train Loss=0.6931, Acc=0.5127, Test Loss=0.6937, Acc=0.4948, LR=0.008830
Epoch  70/100: Train Loss=0.6929, Acc=0.5127, Test Loss=0.6939, Acc=0.4948, LR=0.005496
Epoch  80/100: Train Loss=0.6930, Acc=0.5127, Test Loss=0.6936, Acc=0.4948, LR=0.002559
Epoch  90/100: Train Loss=0.6929, Acc=0.5127, Test Loss=0.6938, Acc=0.4948, LR=0.000600
Epoch  99/100: Train Loss=0.6928, Acc=0.5127, Test Loss=0.6937, Acc=0.4948, LR=0.000001

Best test accuracy: 0.5819 at epoch 6
