
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 5.999999999999994e-05
Epoch   0/100: Train Loss=0.8105, Acc=0.4122, Test Loss=0.7207, Acc=0.3939, LR=0.000064
Epoch  10/100: Train Loss=0.6503, Acc=0.6183, Test Loss=0.5951, Acc=0.6970, LR=0.000492
Epoch  20/100: Train Loss=0.6006, Acc=0.6718, Test Loss=0.5803, Acc=0.6667, LR=0.001212
Epoch  30/100: Train Loss=0.5982, Acc=0.6565, Test Loss=0.5427, Acc=0.6667, LR=0.001499
Epoch  40/100: Train Loss=0.6025, Acc=0.6641, Test Loss=0.6018, Acc=0.6970, LR=0.001407
Epoch  50/100: Train Loss=0.5578, Acc=0.6870, Test Loss=0.5658, Acc=0.6667, LR=0.001185
Epoch  60/100: Train Loss=0.5536, Acc=0.7557, Test Loss=0.5907, Acc=0.6970, LR=0.000877
Epoch  70/100: Train Loss=0.4945, Acc=0.7786, Test Loss=0.5078, Acc=0.7273, LR=0.000544
Epoch  80/100: Train Loss=0.4644, Acc=0.8168, Test Loss=0.5247, Acc=0.7273, LR=0.000252
Epoch  90/100: Train Loss=0.4090, Acc=0.8550, Test Loss=0.5331, Acc=0.7273, LR=0.000058
Epoch  99/100: Train Loss=0.4395, Acc=0.7939, Test Loss=0.5341, Acc=0.7576, LR=0.000000

Best test accuracy: 0.7576 at epoch 47
