
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 7.200000000000002e-05
Epoch   0/100: Train Loss=0.8072, Acc=0.4198, Test Loss=0.7186, Acc=0.4242, LR=0.000077
Epoch  10/100: Train Loss=0.6488, Acc=0.6107, Test Loss=0.5967, Acc=0.6970, LR=0.000591
Epoch  20/100: Train Loss=0.5984, Acc=0.6947, Test Loss=0.5711, Acc=0.6970, LR=0.001454
Epoch  30/100: Train Loss=0.6174, Acc=0.6183, Test Loss=0.5526, Acc=0.6970, LR=0.001799
Epoch  40/100: Train Loss=0.5600, Acc=0.6641, Test Loss=0.6784, Acc=0.6970, LR=0.001689
Epoch  50/100: Train Loss=0.4807, Acc=0.7557, Test Loss=0.5796, Acc=0.7273, LR=0.001422
Epoch  60/100: Train Loss=0.5164, Acc=0.8015, Test Loss=0.5879, Acc=0.7273, LR=0.001053
Epoch  70/100: Train Loss=0.4474, Acc=0.7786, Test Loss=0.5099, Acc=0.7879, LR=0.000653
Epoch  80/100: Train Loss=0.4424, Acc=0.7939, Test Loss=0.5272, Acc=0.6970, LR=0.000302
Epoch  90/100: Train Loss=0.3944, Acc=0.8321, Test Loss=0.5381, Acc=0.6970, LR=0.000069
Epoch  99/100: Train Loss=0.4577, Acc=0.7939, Test Loss=0.5304, Acc=0.6970, LR=0.000000

Best test accuracy: 0.7879 at epoch 70
