
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 9.600000000000017e-05
Epoch   0/100: Train Loss=0.8010, Acc=0.4046, Test Loss=0.7144, Acc=0.3939, LR=0.000102
Epoch  10/100: Train Loss=0.6545, Acc=0.5802, Test Loss=0.5743, Acc=0.7273, LR=0.000788
Epoch  20/100: Train Loss=0.6344, Acc=0.6565, Test Loss=0.5590, Acc=0.6970, LR=0.001939
Epoch  30/100: Train Loss=0.6484, Acc=0.6336, Test Loss=0.5247, Acc=0.7273, LR=0.002398
Epoch  40/100: Train Loss=0.6803, Acc=0.6489, Test Loss=0.5787, Acc=0.6970, LR=0.002252
Epoch  50/100: Train Loss=0.5323, Acc=0.7481, Test Loss=0.5979, Acc=0.6970, LR=0.001897
Epoch  60/100: Train Loss=0.5446, Acc=0.8015, Test Loss=0.5337, Acc=0.7273, LR=0.001404
Epoch  70/100: Train Loss=0.5087, Acc=0.7328, Test Loss=0.5036, Acc=0.6970, LR=0.000870
Epoch  80/100: Train Loss=0.4450, Acc=0.7863, Test Loss=0.5477, Acc=0.7273, LR=0.000402
Epoch  90/100: Train Loss=0.4061, Acc=0.8168, Test Loss=0.5544, Acc=0.6364, LR=0.000092
Epoch  99/100: Train Loss=0.4280, Acc=0.7939, Test Loss=0.5481, Acc=0.6364, LR=0.000000

Best test accuracy: 0.7879 at epoch 56
