
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.7951, Acc=0.4198, Test Loss=0.7109, Acc=0.3636, LR=0.000128
Epoch  10/100: Train Loss=0.6555, Acc=0.6183, Test Loss=0.5686, Acc=0.6970, LR=0.000984
Epoch  20/100: Train Loss=0.6003, Acc=0.6489, Test Loss=0.6131, Acc=0.6970, LR=0.002424
Epoch  30/100: Train Loss=0.6222, Acc=0.6336, Test Loss=0.5199, Acc=0.6970, LR=0.002998
Epoch  40/100: Train Loss=0.6673, Acc=0.6489, Test Loss=0.5942, Acc=0.6970, LR=0.002814
Epoch  50/100: Train Loss=0.5528, Acc=0.7099, Test Loss=0.5463, Acc=0.7576, LR=0.002371
Epoch  60/100: Train Loss=0.5763, Acc=0.7176, Test Loss=0.5375, Acc=0.7273, LR=0.001755
Epoch  70/100: Train Loss=0.4966, Acc=0.7405, Test Loss=0.4718, Acc=0.6970, LR=0.001088
Epoch  80/100: Train Loss=0.4463, Acc=0.7405, Test Loss=0.5808, Acc=0.6970, LR=0.000503
Epoch  90/100: Train Loss=0.3947, Acc=0.8168, Test Loss=0.5065, Acc=0.7576, LR=0.000116
Epoch  99/100: Train Loss=0.4513, Acc=0.7939, Test Loss=0.5249, Acc=0.6970, LR=0.000000

Best test accuracy: 0.7879 at epoch 55
