
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.7709, Acc=0.5496, Test Loss=0.6400, Acc=0.6970, LR=0.000128
Epoch  10/100: Train Loss=0.5160, Acc=0.7023, Test Loss=0.6017, Acc=0.6970, LR=0.000984
Epoch  20/100: Train Loss=0.5279, Acc=0.7634, Test Loss=0.5994, Acc=0.6667, LR=0.002424
Epoch  30/100: Train Loss=0.3683, Acc=0.8092, Test Loss=0.8382, Acc=0.6061, LR=0.002998
Epoch  40/100: Train Loss=0.3987, Acc=0.8168, Test Loss=0.6484, Acc=0.6970, LR=0.002814
Epoch  50/100: Train Loss=0.4434, Acc=0.8168, Test Loss=0.5612, Acc=0.7273, LR=0.002371
Epoch  60/100: Train Loss=0.4075, Acc=0.8015, Test Loss=0.6456, Acc=0.6667, LR=0.001755
Epoch  70/100: Train Loss=0.3699, Acc=0.7634, Test Loss=0.8051, Acc=0.7576, LR=0.001088
Epoch  80/100: Train Loss=0.3052, Acc=0.8550, Test Loss=0.8146, Acc=0.7273, LR=0.000503
Epoch  90/100: Train Loss=0.3105, Acc=0.8244, Test Loss=0.7617, Acc=0.7273, LR=0.000116
Epoch  99/100: Train Loss=0.3746, Acc=0.8168, Test Loss=0.7452, Acc=0.7273, LR=0.000000

Best test accuracy: 0.7879 at epoch 89
