
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.0005999999999999998
Epoch   0/100: Train Loss=0.7290, Acc=0.5725, Test Loss=0.5770, Acc=0.6970, LR=0.000640
Epoch  10/100: Train Loss=0.5324, Acc=0.6794, Test Loss=0.8047, Acc=0.3939, LR=0.004922
Epoch  20/100: Train Loss=0.6370, Acc=0.7786, Test Loss=0.5940, Acc=0.6970, LR=0.012118
Epoch  30/100: Train Loss=0.6006, Acc=0.6412, Test Loss=0.6000, Acc=0.6970, LR=0.014989
Epoch  40/100: Train Loss=0.6529, Acc=0.6412, Test Loss=0.6219, Acc=0.6970, LR=0.014072
Epoch  50/100: Train Loss=0.6522, Acc=0.6412, Test Loss=0.6207, Acc=0.6970, LR=0.011854
Epoch  60/100: Train Loss=0.6531, Acc=0.6412, Test Loss=0.6236, Acc=0.6970, LR=0.008773
Epoch  70/100: Train Loss=0.6532, Acc=0.6412, Test Loss=0.6173, Acc=0.6970, LR=0.005440
Epoch  80/100: Train Loss=0.6527, Acc=0.6412, Test Loss=0.6194, Acc=0.6970, LR=0.002515
Epoch  90/100: Train Loss=0.6528, Acc=0.6412, Test Loss=0.6190, Acc=0.6970, LR=0.000578
Epoch  99/100: Train Loss=0.6528, Acc=0.6412, Test Loss=0.6190, Acc=0.6970, LR=0.000001

Best test accuracy: 0.7273 at epoch 3
