
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.7709, Acc=0.5496, Test Loss=0.6400, Acc=0.6970, LR=0.000128
Epoch  10/100: Train Loss=0.5151, Acc=0.7099, Test Loss=0.6006, Acc=0.6970, LR=0.000984
Epoch  20/100: Train Loss=0.5593, Acc=0.7557, Test Loss=0.6170, Acc=0.6061, LR=0.002424
Epoch  30/100: Train Loss=0.3765, Acc=0.8244, Test Loss=0.7200, Acc=0.6061, LR=0.002998
Epoch  40/100: Train Loss=0.4226, Acc=0.8015, Test Loss=0.6018, Acc=0.6970, LR=0.002814
Epoch  50/100: Train Loss=0.3822, Acc=0.8550, Test Loss=0.5766, Acc=0.6970, LR=0.002371
Epoch  60/100: Train Loss=0.3149, Acc=0.8168, Test Loss=0.6916, Acc=0.7273, LR=0.001755
Epoch  70/100: Train Loss=0.3067, Acc=0.9008, Test Loss=0.6931, Acc=0.7576, LR=0.001088
Epoch  80/100: Train Loss=0.2323, Acc=0.9008, Test Loss=0.6592, Acc=0.7273, LR=0.000503
Epoch  90/100: Train Loss=0.2669, Acc=0.9008, Test Loss=0.7359, Acc=0.7879, LR=0.000116
Epoch  99/100: Train Loss=0.3147, Acc=0.8473, Test Loss=0.7032, Acc=0.7879, LR=0.000000

Best test accuracy: 0.7879 at epoch 67
