
Starting training...
Model architecture: gin
Hidden dim: 64, Layers: 2
Initial LR: 0.00011999999999999988
Epoch   0/100: Train Loss=0.7709, Acc=0.5496, Test Loss=0.6400, Acc=0.6970, LR=0.000128
Epoch  10/100: Train Loss=0.5154, Acc=0.7099, Test Loss=0.6008, Acc=0.6970, LR=0.000984
Epoch  20/100: Train Loss=0.5435, Acc=0.7481, Test Loss=0.6270, Acc=0.6364, LR=0.002424
Epoch  30/100: Train Loss=0.3922, Acc=0.7786, Test Loss=0.7803, Acc=0.6970, LR=0.002998
Epoch  40/100: Train Loss=0.4601, Acc=0.7634, Test Loss=0.5873, Acc=0.6667, LR=0.002814
Epoch  50/100: Train Loss=0.3874, Acc=0.7710, Test Loss=0.5564, Acc=0.7273, LR=0.002371
Epoch  60/100: Train Loss=0.3568, Acc=0.8092, Test Loss=0.7248, Acc=0.7273, LR=0.001755
Epoch  70/100: Train Loss=0.3810, Acc=0.7634, Test Loss=0.5881, Acc=0.6970, LR=0.001088
Epoch  80/100: Train Loss=0.2944, Acc=0.8473, Test Loss=0.8065, Acc=0.7576, LR=0.000503
Epoch  90/100: Train Loss=0.2985, Acc=0.8473, Test Loss=0.7238, Acc=0.7273, LR=0.000116
Epoch  99/100: Train Loss=0.3524, Acc=0.8321, Test Loss=0.7393, Acc=0.7576, LR=0.000000

Best test accuracy: 0.7879 at epoch 82
