
Starting training...
Model architecture: gin
Hidden dim: 32, Layers: 2
Initial LR: 0.0007199999999999984
Epoch   0/100: Train Loss=0.7343, Acc=0.5496, Test Loss=0.5902, Acc=0.6970, LR=0.000768
Epoch  10/100: Train Loss=0.5200, Acc=0.7405, Test Loss=0.6035, Acc=0.6970, LR=0.005907
Epoch  20/100: Train Loss=0.5298, Acc=0.7252, Test Loss=0.7669, Acc=0.5455, LR=0.014541
Epoch  30/100: Train Loss=0.6523, Acc=0.6412, Test Loss=0.6891, Acc=0.6970, LR=0.017987
Epoch  40/100: Train Loss=0.5590, Acc=0.6412, Test Loss=0.6545, Acc=0.6970, LR=0.016887
Epoch  50/100: Train Loss=0.6255, Acc=0.6412, Test Loss=0.6322, Acc=0.6970, LR=0.014225
Epoch  60/100: Train Loss=0.5704, Acc=0.6412, Test Loss=0.5986, Acc=0.6970, LR=0.010528
Epoch  70/100: Train Loss=0.5873, Acc=0.6412, Test Loss=0.6393, Acc=0.6970, LR=0.006528
Epoch  80/100: Train Loss=0.6105, Acc=0.6412, Test Loss=0.5762, Acc=0.6970, LR=0.003019
Epoch  90/100: Train Loss=0.5991, Acc=0.6412, Test Loss=0.5598, Acc=0.6970, LR=0.000694
Epoch  99/100: Train Loss=0.6113, Acc=0.6412, Test Loss=0.5631, Acc=0.6970, LR=0.000001

Best test accuracy: 0.7576 at epoch 13
