,COEFFICIENTS,ENCODINGS
0,1,KBEQ\kfAkiiR
1,1,K?uC~Wx@uHXS
2,1,K?~{@blJ@HkL
3,1,KMB?wJ{BKli]
4,1,KGqTSF?~EhhU
5,0,KpOMCHoWiee^
6,0,KBoQ[daPMrIF
7,1,K?{LQppOg][S
8,1,K{@PCGGgcg~r
9,1,KsHD@GoopNFL
10,1,KcgWSFA}DUT]
11,1,K`WMF@QQZDan
12,0,KG[JabLGXKto
13,0,KQXIP_gsj@jj
14,1,KqAGYHF^CTkN
15,1,KKpgHBAQlVkF
16,0,KAYSuBSOZFia
17,0,KAYStPc_XNia
18,1,KCtQHDHqNbgR
19,1,KAYSmBS_ZFia
20,0,KCtgHBHPmVIb
21,1,KA[QkhAo~eTT
22,1,KGjCpEPXW^lW
23,1,KCieQhIcH{E]
24,0,KooQO[sOYjor
25,1,KN@ChEIXOO^]
26,1,KbAHHY`p]DU]
27,0,K[AdOpGgW}Lu
28,0,KBchQkaOhRFB
29,1,Kf?LDPccOGd}
30,0,KooBa`sQGyst
31,1,KHgFShGWx[E]
32,1,KOwQt@IYIIst
33,1,KBoTTK`OXafB
34,0,K@sI[bgPiikb
35,1,Kw_B_hcYGyst
36,1,KKoBsdAYIXwd
37,0,KCqdOtHgW}HU
38,1,KooP_YsOiZqb
39,1,KFOdTDAQpafB
40,0,KFDHcHaPPdfB
41,1,KBpWIaFOqI`U
42,1,KghA_YKXXkor
43,1,KocBcIIYYjQb
44,1,KwHDAGPbOzZB
45,1,K@kbKbGXg{kl
46,1,KGYeGyGYW}Au
47,1,KeOgUD@`HTzM
48,1,KPcJcIAsxlkJ
49,1,KGjDOMBY[Yvk
50,1,KgW@sdAXY\V[
51,0,KGjDPEaX`avL
52,1,KgoBchCYgysT
53,1,KGjDPEaX`av@
54,1,KHdEGTIgx]C]
55,1,KHdEGTIgxYU]
56,0,KOYiGX_o}U`u
57,1,KG\@hDabKsrK
58,1,KZ@q@A_QKPY}
59,1,KG\@hDabSkrK
60,0,KZ@q@A_QKPh}
61,0,KsH?gHq`TSvM
62,0,KMPW`Da_OLz]
63,1,KEKBsXIW[jZd
64,0,KKbB_k_otZlL
65,1,K_wPcbHdJX]L
66,0,KeAQS[T?Wjyr
67,0,K`oBMaH`YzDL
68,0,K?nBGhrGsQ|C
69,1,K@NAo[YYXJYC
70,0,KiBOQcY?pJNL
71,1,KDoMdBPTGtIZ
72,0,K_x@`Igsp\\L
73,1,KOkcoR_{LJLl
74,0,KKTI_[_okkyr
75,0,KOtI_Sapkkqr
76,1,KFPHcKEdOgvB
77,1,KIgRahSQGYst
78,1,KccQ`[YOgiyR
79,1,KGsJ_mcYGhwR
80,1,KFB`PIFD_XV`
81,1,Ky?KcB@f`JJL
82,0,KgdCOpDlLOT}
83,0,Ks`B?KsOiZqr
84,1,KKgBphoOiI{T
85,1,KFPHcKDdPGvB
86,0,Kob@OBpSqjlp
87,0,KoL@OSosh\XK
88,0,Ku@a@@ccSHY}
89,0,KwO_hEA\PSvM
90,1,Ku@a@@ccSHh}
91,0,Km@GaDQ`GTz]
92,1,Kp`@G`Lgx\I]
93,1,Kb_KHYaoxLU]
94,1,Kp`C_PMgxXh]
95,0,KHoUOmEWW{`m
96,1,KopO_KsOiZyR
97,0,KpD_cGQIhavL
98,0,KsGQO[YOXkyb
99,1,KggB_mcYHXwR
100,1,Ky?KcBAV_rJL
101,0,KHpSOqIWWw]m
102,1,Kp``?PIgx\d]
103,0,KopAOcqPiXyb
104,0,KbAKcMDiYJUx
105,1,K@wWshAwYmTt
106,1,KaQH_rdgo^Uh
107,1,K`cAqhPxGmk`
108,0,K@fAgLwhPddW
109,1,KGlDaHC{KXll
110,0,KaaEHUiTOka}
111,0,KIhTABOopNKL
112,0,KwDGcG?|`eVL
113,1,KccQ`YYOgZYb
114,1,KcoQOuqOHhyb
115,1,KRHp@G``PLVL
116,1,KDWItPETGW{d
117,1,KDWIuHESIW{d
118,0,K@wsPTaOWzlL
119,1,KWoDsPGWyZYU
120,1,KqD_SGA\`dVL
121,1,KFBDSIDh_iV`
122,0,K?^wDCDL@EbB
123,0,KwH`@CaCjPzL
124,0,KETa_[KWWkwr
125,0,KiPOQcQOo^LL
126,0,KOsdcIGYYhYb
127,1,KHgLQTEOxZdL
128,0,KHpAgeEXW}`U
129,0,KYOFPKcQWhyb
130,0,KROJOkcqgXYb
131,1,Kk_R?mSOYhwr
132,0,KqOoPcaOWvLL
133,1,KAqKmBCsXhzs
134,1,Kp_BGdoox\i]
135,1,KsP@_EqPS[vM
136,1,K`aSO\ooW}hu
137,1,Kt@gE?OSHSf}
138,0,KKXAoLg`MWrk
139,1,Kw`B?HD[Wyu]
140,1,KcaQ_\ooSYt{
141,1,KAjBG[osWqt[
142,1,KgQDGt_wYZVs
143,0,KWpQGPBW[Xyu
144,1,K@kIYdqPHHRs
145,0,KPIbGTag[W|s
146,1,KoEAWbbQlqvk
147,1,KoEGWRbgonZq
148,1,KCl`HIBPs[ra
149,1,KPTAoEpQkiRW
150,1,KKX`HIAPs[vE
151,1,K_iBKiEg{W{M
152,1,KoaAgwoox]c]
153,1,KgRAGTEkWyu]
154,0,KSKhKIA`k[vM
155,0,KN@Cp`cgGGj}
156,1,KMD_Wb?xGt\k
157,1,KdADMBOoYplk
158,1,KoIGkD_q\bj[
159,1,KoLAOKosiZRg
160,1,K@\ChDaqYiV[
161,0,KcL?kDHQ\qZ[
162,0,KAlDOMbQkWtG
163,1,K_iBMBGwWy}]
164,1,K{?OkH__UXz]
165,1,KoEO[BGwXt\k
166,1,K_eCXXhchgzu
167,1,Ku@aCACkKPX}
168,1,K_[GuHaaKkrq
169,1,KwPCKAAhhsvM
170,0,KsP?gEYXPSvM
171,0,K`cAshIgx[T]
172,1,KcIAgxoop]d[
173,1,Ks_PKPDPSyu]
174,1,KOYeGTggX[d{
175,1,KabAGXbPsXyU
176,0,KPTB_IgwigtK
177,1,K_iBM`aPSw}U
178,0,K@lHaIXQXHRK
179,0,KSWkIEQPPSvM
180,1,KcF?WbV?ymxu
181,0,K`oBMB@wX^dU
182,1,KgX@_TBi[YrK
183,1,KGjBG[_w[Yts
184,0,KPTBOIhWigtK
185,0,KoXAGSgwX[t{
186,0,Kgg`aMAW[[rk
187,0,Ky@WE?c?KPz}
188,1,K_wBGmgwYWtk
189,0,KwG`aEAW[[zk
190,1,KgF?WFArum[]
191,1,K?zAoYgwWy{I
192,0,K{?qB@O_KPz}
193,1,KwP?oIBY[XzM
194,1,KpAIKB_p]`d{
195,0,KhP@OMBY[Wva
196,1,K_iBG]`w[Y{K
197,0,KPTIOEbQkWtg
198,1,KBgI[LaP]Rdr
199,0,KBpOoeTO}ahZ
200,1,KBgJKe`_~AdZ
201,1,K@kNDBoXIFAn
202,1,K@tgH`PP}Ckr
203,0,K@sKkJcggnEW
204,0,KBXQHPIq[iUt
205,1,K?{ggro[LEIf
206,0,K?udQTWggnKP
207,1,K`EGmHApmcmr
208,1,KcWGspEXG[{d
209,1,KCtGgdStozZK
210,0,Kb_EGlbgqpRx
211,1,KBbO[EBanatp
212,1,K@sIsh`Wg^EW
213,0,KCkLMDOopN]O
214,1,KRCMKEBbm_tx
215,0,KBKH]HcVDTDN
216,1,K_sFDBPTivAJ
217,1,KN?FdBOTIUEn
218,1,KAxEa`QsZScj
219,0,K@eQkiQghed`
220,0,KHbSbGS``PRr
221,1,KdOFDBPSitIZ
222,0,K`KDPFuIGNHU
223,1,KpAEHHDxpmbU
224,0,KKhDSaCah}P]
225,1,KocDQQJYG}Pu
226,1,K@ehIUIh`_tQ
227,0,KwDDCGPIhavL
228,0,KgSEQpBiG}Qm
229,1,KbCgQTB`mctx
230,1,KAiLIUi`Oiv_
231,1,KPbL@@coxmbu
232,1,Kp`DC@DWx]e]
233,1,KHpSKaCgWy]m
234,0,KHoUSLCWW}`u
235,1,KAsIiJhSG^KR
236,0,KohQ@@iQGy{t
237,0,KKoIqhSPGX{d
238,1,KPIbQDQ_x^]L
239,0,KIbSOeESYZKl
240,0,KAiTPFapOnl?
241,1,K_xAHPh`qXwr
242,0,KchA_YYQhZQR
243,0,KsBP?gT`_y}B
244,0,KEL`HIESp`|@
245,1,KoaIGJh`qh{p
246,0,KIhTD@_cQId]
247,1,KgL@IDQcjPzK
248,0,KGjDPI`Ox^lK
249,1,KPKIgFeP^bhR
250,1,KgcCqLCo~N@l
251,0,K_wIUHBQ[pyb
252,1,Ks_WG[J_iXyr
253,1,KkGcJEAPbPzK
254,1,KWoDoYKWyZPU
255,1,KBghIUPO|EeZ
256,0,KPcL`oqYH@bn
257,0,KCYI[FHhINi_
258,1,KIQEYeOwpdlh
259,1,KaaKIeEsZ`Xt
260,0,KRPB`CcqgiyR
261,0,K{@BACSOiZyr
262,1,KKpB_eSPYhwR
263,0,KCscXTHQ^bGR
264,0,KiGGkqGbW^Ij
265,0,KTOIs`KPYZDt
266,1,KA\aI`DSW}kr
267,0,KocEPIhSX\Kj
268,1,KXGJQDIOx^ML
269,0,K_YDaJTWYVeG
270,0,KXCUGqQalGU}
271,1,K`WBaYsOYhwR
272,0,Kf?KMKD``HjL
273,0,KQat@BaOovKL
274,0,KkP`@D@bShzK
275,0,KRPB_KcqkXYR
276,1,KAxSIBSsqrXl
277,1,KQc[OYh[IHh}
278,0,K`od@sAw{olJ
279,0,KhCE`[GxZPUj
280,0,KHdK`KCxXTdj
281,1,KPWiH`CtYiUt
282,0,KCskHRHO~BIb
283,1,K?uLQTx?g^KP
284,0,KSok_YHPmouZ
285,1,KIJQQaQUHpz]
286,0,K`QELPogomb}
287,1,Kr@D@GcqgX]r
288,0,KIpI_saPWhyR
289,1,K@eW\IEch`[`
290,0,KoccIPWbKpY}
291,0,KFDaGTEclQU]
292,0,KpADGpphPkf]
293,0,Kop@GPweSpR}
294,0,KoacQPWbKpY}
295,0,KFDaGTEStQU]
296,1,KbCSSTESlO]]
297,0,KaX@_MkYGkyR
298,0,Kw`_GIC\SrV]
299,0,KKpK`DaaSIv]
300,1,KoK@oFs[NA|r
301,0,KhGEbIIPp[Vl
302,0,KPSwGqOwifEz
303,0,KDSHhTcpOneG
304,0,K_s@r`ow_NZc
305,0,KacBSdgTQZDr
306,0,KDKHhXcopNb_
307,1,KdOFDDOtIsej
308,1,KIJQI`QUPqv]
309,0,KHbHHDgSpsj]
310,0,KoccQPWRKhi}
311,0,KSakGXHQtPi]
312,0,KbCSSUEclG\]
313,1,KG[UHbA}co\l
314,1,KeOIcbHPjTeZ
315,0,K_[ApkcxKLRo
