"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12"
1,-2.472833908995255,-2.1567118035339137,-1.999999999999998,-1.462598422974774,-1.3194788091658696,-0.9999999999999998,-0.7151720403766122,-0.4142135623730965,1.9354323319700297,2.139959784262297,2.414213562373093,5.0514028688140975
1,-2.442575873732037,-2.2360679774997902,-1.9999999999999973,-1.3255686652367185,-1.0000000000000009,-1.,-0.9999999999999998,-0.4142135623730966,1.9054241428804806,2.2360679774997902,2.4142135623730967,4.862720396088275
1,-2.236067977499791,-2.2360679774997902,-2.236067977499789,-1.0000000000000004,-1.0000000000000002,-0.9999999999999998,-0.9999999999999996,-0.999999999999999,2.236067977499789,2.2360679774997907,2.236067977499791,5.
1,-2.4751097589744875,-2.1068403073857467,-2.000000000000002,-1.6417911821473752,-1.5320888862379505,-0.9791725936137415,-0.34729635533386327,-0.24439547731139116,1.8116453691593508,1.879385241571816,2.535777320946059,5.09988662932733
1,-2.510865938541502,-2.1718341055915937,-1.9714316482575052,-1.552060507256545,-1.3235815588947526,-0.9526183565156189,-0.4376067420049587,-0.2922416248385773,1.6465437235411529,2.137951386096901,2.5140067415490193,4.913738630713981
0,-2.4508220701865833,-2.103442888889769,-1.9479225382163174,-1.5727412210267648,-1.1616268452487963,-0.9999999999999999,-0.47182310506870284,-0.341152592809921,1.3931433631756787,2.293206820148482,2.6080824525409625,4.7550986255817325
0,-2.5701102007648187,-2.1210173792470615,-2.000000000000003,-1.5320888862379543,-1.1521618490291095,-0.8811749121602714,-0.46971010434113397,-0.3472963553338621,1.8793852415718157,1.927683466682618,2.5254693437418805,4.741021635117898
1,-2.571909441876852,-2.2770538094875064,-1.8165842290961598,-1.562323425589516,-1.202937048616595,-0.669359853762068,-0.41756013610426784,-0.30713154730378156,1.7388527280714476,1.9036151368334604,2.62813961776709,4.55425200916475
1,-2.578470368587989,-1.9999999999999982,-1.7642759429013826,-1.5676848813926847,-1.5320888862379578,-0.6196795752401656,-0.34729635533386266,-0.1898430110857666,1.5863640810800725,1.8793852415718157,2.729973501619158,4.403616196508755
1,-2.3712936519274086,-2.2650770387771098,-1.9293772513481002,-1.562134636984344,-1.,-0.940337837911824,-0.43028102259565654,-0.14982973083284654,1.478802385249712,2.13451216229326,2.6505950633882716,4.384421559446043
1,-2.6273873466250675,-2.0000000000000004,-1.9360953156893492,-1.6806349802597385,-1.2907521054317155,-1.0000000000000004,-0.40552997876508773,-0.19630040314466582,1.5730204632665135,2.013101060847728,2.63025231384204,4.920326291959343
1,-2.528152099968415,-2.11349696879877,-1.9530389498685417,-1.6848775659801145,-1.14014827800437,-0.9999999999999999,-0.4772820397547272,-0.11302787809920903,1.8046612697355768,1.8918776050922421,2.568542442708045,4.744942462938287
0,-2.497001785169341,-2.264181781680598,-1.9874248429511554,-1.5539300559841664,-1.0886239346268558,-0.8669869357137744,-0.4568535091612799,-0.018017735327828962,1.5767965860621158,1.8936445871013525,2.7138499201728226,4.548729487278714
0,-2.7995617782115167,-1.9999999999999984,-1.8932554683969038,-1.5320888862379567,-1.1192254487442714,-0.8499041254520554,-0.35999701447865645,-0.3472963553338608,1.5164941442950808,1.8793852415718164,2.7507779702328117,4.754671720755512
1,-2.4501525242371294,-2.1083996568972974,-1.8770933287949756,-1.7598309239233532,-1.533504277720203,-0.9999999999999994,-0.3335323932894813,-0.05795548705797192,1.659639859481317,2.0428928145901484,2.479338130970829,4.938597786878114
1,-2.4509753991478194,-2.1494095386797074,-1.946744269424344,-1.7320508075688774,-1.2796673380481292,-0.9999999999999984,-0.39325726258219146,0.008433251828696378,1.7320508075688765,1.8554940045168025,2.607662144186876,4.748464407349815
