"COEFFICIENTS","DOUBLE_TRIANGLES"
1,48
0,49
-1,43
1,48
1,52
0,54
0,53
-1,36
0,37
0,36
1,34
1,61
-1,26
-1,44
0,18
-1,42
0,27
1,41
-1,40
1,14
-1,15
-1,27
-1,29
0,17
0,9
1,20
1,30
1,9
-1,15
1,37
0,41
0,34
-1,29
0,34
0,18
-1,31
0,24
0,45
1,36
0,32
0,31
0,19
0,34
-1,28
1,26
1,14
0,43
1,37
1,56
0,42
-1,35
1,24
-1,26
0,15
-1,26
0,44
0,46
-1,40
-1,30
1,19
1,17
0,46
1,53
0,27
-1,24
0,41
1,51
1,55
0,60
0,54
-1,47
1,36
1,55
0,36
-1,43
0,35
-1,41
1,29
1,28
0,26
-1,41
1,54
0,38
0,45
0,28
0,66
1,58
0,56
1,35
-1,36
0,43
-1,39
0,27
0,28
-1,26
1,22
1,59
1,38
0,40
-1,38
0,30
0,25
-1,24
1,20
0,28
0,26
0,23
-1,37
-1,45
1,19
0,31
1,61
1,24
0,28
0,27
-1,39
0,14
0,25
0,30
-1,22
-1,31
0,29
0,19
1,14
0,4
0,45
1,24
0,32
0,31
-1,25
1,37
1,30
-1,22
1,20
0,34
0,10
-1,32
2,14
-1,15
-1,19
-1,26
1,10
1,18
0,36
-1,15
0,11
1,32
-1,17
1,24
0,10
1,22
1,24
-1,13
1,18
1,39
-1,28
1,26
-1,31
-1,30
0,27
1,20
-1,7
0,22
1,19
0,31
0,36
1,24
0,20
0,11
0,31
-1,23
1,22
1,21
0,9
-1,16
0,19
1,14
0,10
1,42
1,19
1,22
-1,10
-1,27
1,37
1,56
-1,40
-1,27
1,26
0,17
1,16
1,18
-1,10
1,33
-1,40
1,30
0,21
0,15
0,19
0,17
0,21
0,18
0,20
0,25
0,18
1,16
0,20
0,30
-1,12
0,40
1,30
0,23
-1,18
0,12
1,13
1,10
0,18
0,22
0,12
0,36
0,18
