COEFFICIENTS,EV_DEN,EV_FGRAPH
1,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-2.65112855 -2.30389371 -1.84057633 -1.62086329 -0.92720193 -0.71081204
 -0.61793743  1.07899543  1.2910949   2.33368684  5.9686361 ]"
0,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-2.99030288 -2.50608944 -1.76588923 -1.16262908 -1.         -0.71508912
 -0.25700541  1.06555372  1.28390787  2.07892909  5.96861448]"
-1,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-2.85870929 -2.2469796  -1.78818712 -1.33959095 -1.         -0.70350398
 -0.55495813  0.80193774  1.22573944  2.49769105  5.96656086]"
1,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-2.94882836 -2.73927567 -1.36983628 -1.         -1.         -1.
 -0.2555734   0.78281568  1.39812458  2.16601268  5.96656076]"
1,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-2.48994884e+00 -2.00000000e+00 -2.00000000e+00 -2.00000000e+00
 -1.30277564e+00 -7.44858880e-01  2.46369257e-16  1.00000000e+00
  1.26430817e+00  2.30277564e+00  5.97049955e+00]"
0,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-3.14510269e+00 -2.48994884e+00 -2.00000000e+00 -1.52397640e+00
 -7.44858880e-01 -1.68760814e-16 -3.18722580e-17  1.00000000e+00
  1.26430817e+00  1.66907909e+00  5.97049955e+00]"
0,"[-2.23606798 -2.22580022 -1.73205081 -1.73205081 -1.         -1.
 -0.72586016  1.73205081  1.73205081  2.23606798  4.95166037]","[-3.07481184e+00 -2.51257202e+00 -1.86664328e+00 -1.34456022e+00
 -8.89527347e-01 -4.79792770e-01 -1.22270114e-16  9.28843321e-01
  1.44859385e+00  1.82014880e+00  5.97032151e+00]"
-1,"[-2.47283391 -2.06554137 -1.76886448 -1.46259842 -1.         -1.
 -0.68639102  1.45903209  1.93543233  2.29183255  4.76993224]","[-2.52394418 -2.49127058 -1.83235912 -1.40993703 -1.         -1.
 -0.21258603  1.10066007  1.47674189  2.28907785  5.60361712]"
0,"[-2.47283391 -2.06554137 -1.76886448 -1.46259842 -1.         -1.
 -0.68639102  1.45903209  1.93543233  2.29183255  4.76993224]","[-3.09392636 -2.23923618 -1.77134501 -1.45115975 -1.         -0.45983186
 -0.22822899  1.11610353  1.60535203  1.91841481  5.60385777]"
0,"[-2.47283391 -2.06554137 -1.76886448 -1.46259842 -1.         -1.
 -0.68639102  1.45903209  1.93543233  2.29183255  4.76993224]","[-2.93672263 -2.33401656 -1.61599546 -1.43792266 -1.13279339 -0.50772362
 -0.39714954  1.06367427  1.54435357  2.14954161  5.60475442]"
1,"[-2.39666792 -2.         -1.85525038 -1.76643903 -1.53208889 -0.45034033
 -0.34729636  1.33412577  1.87938524  2.10783981  5.02673208]","[-2.88654654 -2.1557411  -2.         -1.4550446  -1.         -0.81277653
 -0.29498512  0.48248998  1.72239291  2.11748141  6.2827296 ]"
1,"[-2.39666792 -2.         -1.85525038 -1.76643903 -1.53208889 -0.45034033
 -0.34729636  1.33412577  1.87938524  2.10783981  5.02673208]","[-2.44129091e+00 -2.27310298e+00 -1.94002077e+00 -1.56688863e+00
 -1.13374869e+00 -5.14916053e-01  2.56971942e-16  1.84282595e-01
  1.52309559e+00  1.90919460e+00  6.25339525e+00]"
-1,"[-2.36093854 -2.         -2.         -1.56615534 -1.53208889 -0.34729636
 -0.33936133  1.15926825  1.87938524  2.27726978  4.82991718]","[-2.91809960e+00 -2.36129880e+00 -2.00000000e+00 -1.41421356e+00
 -1.17413921e+00 -2.98005818e-01  6.46456307e-16  4.67236662e-01
  1.41421356e+00  2.42337869e+00  5.86092808e+00]"
-1,"[-2.33799874 -2.         -1.85640618 -1.73645268 -1.4990088  -0.48823833
 -0.33751591  1.31228279  2.02556367  2.0950442   4.82272999]","[-2.52675149 -2.40799693 -1.75993102 -1.55468844 -1.18355122 -0.3891212
 -0.18858988  0.5857012   1.74341874  1.862178    5.81933224]"
0,"[-2.31644017 -2.22817243 -1.80684475 -1.64195551 -1.09260717 -0.51648926
 -0.33543905  1.32946063  1.8714322   2.32644015  4.41061537]","[-2.75325271 -2.46898795 -1.84043161 -1.27658091 -0.67902711 -0.40148746
 -0.28051722  0.87464652  1.84791961  2.06025917  4.91745966]"
-1,"[-2.27346122 -2.24794097 -1.86102936 -1.60524743 -1.43782878 -0.42883267
 -0.32665685  1.27194572  1.92282802  2.14012267  4.84610087]","[-2.47283391 -1.93232924 -1.646813   -1.46259842 -1.33518701 -1.
 -0.26273876  0.30721873  1.93543233  1.98035212  5.88949716]"
0,"[-2.40041772 -2.1017645  -1.76996671 -1.60690859 -1.431564   -0.38966906
 -0.33225214  1.15486202  1.99337449  2.26106246  4.62324376]","[-2.50012589 -2.326409   -1.97076502 -1.55443281 -0.88731272 -0.37375759
 -0.235276    0.57419999  1.72595025  2.15217255  5.39575625]"
1,"[-2.43346527 -2.27346122 -1.95250947 -1.43782878 -1.28097678 -0.45719673
 -0.42883267  1.24975897  1.8207925   2.14012267  5.05359678]","[-2.91966418 -2.22280969 -1.71359796 -1.50634977 -1.         -0.76484562
 -0.20418567  0.29351302  1.56639674  2.08179617  6.38974695]"
-1,"[-2.28356829 -2.27346122 -2.         -1.43782878 -1.17838159 -0.67993708
 -0.42883267  1.55546627  1.74007253  2.14012267  4.84634816]","[-2.4112897  -2.         -1.61334794 -1.53208889 -1.32448593 -1.10375708
 -0.34729636  0.8442825   1.68863704  1.87938524  5.91996113]"
1,"[-2.48260007 -2.28216811 -1.79714017 -1.         -1.         -1.
 -0.36585885  1.26150104  1.82175456  2.43965818  4.40485341]","[-2.43739676 -2.35462223 -1.58139696 -1.36782348 -1.28821363 -0.64272643
 -0.34623447  0.90769578  1.72814222  2.48940966  4.89316628]"
-1,"[-2.40796989 -2.         -2.         -1.18152335 -1.         -0.76275493
 -0.41421356  1.04329634  2.09759736  2.41421356  4.21135448]","[-2.27346122 -2.13705118 -2.         -1.43782878 -0.90996783 -0.73747775
 -0.42883267  1.17216588  2.11753919  2.14012267  4.49479169]"
-1,"[-2.74874455 -2.11813485 -1.65044131 -1.2169682  -1.         -0.78884338
 -0.34043088  0.78444422  2.01524092  2.4389985   4.62487952]","[-2.74144663 -2.08189775 -1.67985103 -1.34674005 -1.         -0.66094107
 -0.30058491  0.27854606  1.70284624  2.43938135  5.3906878 ]"
-1,"[-2.44400273 -2.12625265 -1.83404769 -1.66701748 -1.30764038 -0.50529548
 -0.29157284  1.47500696  1.76030209  2.06433672  4.87618348]","[-2.84319063 -2.40574182 -1.86133727 -1.43935237 -1.         -0.5164569
 -0.11374491  0.60309043  1.53729124  1.98632518  6.05311704]"
0,"[-2.35597963 -2.15179377 -1.84445206 -1.66819102 -1.16836517 -0.59455162
 -0.3379944   1.46348345  1.94286442  2.06530431  4.64967548]","[-3.09200324 -2.39019237 -1.73115333 -1.2488598  -0.9044806  -0.77955101
 -0.20098784  1.14257245  1.71376072  1.95595446  5.53494058]"
0,"[-2.51548749 -2.24406584 -1.7941786  -1.20404243 -1.         -0.66465707
 -0.335042    1.44317641  1.75491797  2.34736665  4.21201242]","[-2.70751634 -2.15673099 -1.72937663 -1.27415985 -0.89615744 -0.67240909
 -0.32745859  1.21214247  1.77549232  2.27875206  4.49742208]"
1,"[-2.39813599 -2.         -2.         -1.53208889 -1.25308916 -0.39069323
 -0.34729636  1.37762886  1.87938524  2.23172858  4.43256093]","[-2.8206641  -2.         -1.53208889 -1.46490259 -1.34401477 -0.34729636
 -0.30879308  0.93852803  1.87938524  1.980643    5.01920352]"
1,"[-2.83075885e+00 -2.00000000e+00 -1.89668155e+00 -1.43633091e+00
 -1.41421356e+00 -1.02974058e-01 -3.40485587e-16  8.70448618e-01
  1.41421356e+00  2.24806742e+00  5.14822934e+00]","[-3.27777146 -2.35567429 -1.55425074 -1.47726    -1.         -0.74032446
 -0.26235969  0.39708367  1.09529399  2.3468685   6.8283945 ]"
1,"[-2.50676558e+00 -2.12462337e+00 -2.00000000e+00 -1.41421356e+00
 -1.15919990e+00 -3.85124593e-01 -8.53182043e-18  1.20568959e+00
  1.41421356e+00  2.49361573e+00  4.47640813e+00]","[-2.95306236e+00 -2.00000000e+00 -1.72912686e+00 -1.41421356e+00
 -1.33665214e+00 -3.27785025e-01 -8.93606590e-17  5.30074048e-01
  1.41421356e+00  2.57312873e+00  5.24342360e+00]"
-1,"[-2.45140503e+00 -2.30592156e+00 -1.86008455e+00 -1.47717432e+00
 -1.25716735e+00 -2.56975498e-01  4.05159859e-16  7.61996909e-01
  1.79632271e+00  2.35830064e+00  4.69210805e+00]","[-2.85730267e+00 -2.10792521e+00 -1.79935184e+00 -1.36622926e+00
 -1.00000000e+00 -7.15217511e-01  6.31198827e-17  2.17577519e-01
  1.53771227e+00  2.36686038e+00  5.72387633e+00]"
1,"[-2.67341379 -2.18919161 -1.89244151 -1.43864713 -1.14278414 -0.43188103
 -0.25145336  1.12312332  1.37718294  2.45131397  5.06819235]","[-2.51026593 -2.         -2.         -1.7102218  -0.87023948 -0.83785033
 -0.31881655  0.26279999  0.8861046   2.6827974   6.41569211]"
