"CYCLES_MULT3","CYCLES_MULT4","CYCLES_MULT5","CYCLES_MULT6","CYCLES_MULT7","CYCLES_MULT8","CYCLES_MULT9","CYCLES_MULT10","CYCLES_MULT11"
18,29,78,234,566,1018,1322,1152,508
18,29,78,234,566,1018,1322,1152,508
18,29,78,234,566,1018,1322,1152,508
18,29,78,234,566,1018,1322,1152,508
18,29,78,234,566,1018,1322,1152,508
18,29,78,234,566,1018,1322,1152,508
18,29,78,234,566,1018,1322,1152,508
16,24,59,174,421,748,951,818,360
16,24,59,174,421,748,951,818,360
16,24,59,174,421,748,951,818,360
18,32,92,250,530,868,1070,888,370
18,32,92,250,530,868,1070,888,370
16,26,70,184,386,650,826,694,292
16,25,68,189,406,663,813,679,288
12,15,37,101,218,357,435,358,148
16,26,71,189,390,620,756,633,264
14,20,51,139,291,477,590,492,207
18,34,96,249,521,839,993,792,330
16,26,70,191,411,649,749,592,248
12,16,36,94,216,366,438,347,141
11,12,23,62,155,268,317,246,96
14,23,50,120,274,485,611,497,200
16,27,74,194,391,599,697,561,235
14,20,52,146,305,467,535,426,181
10,12,27,73,158,251,296,239,99
12,15,38,108,221,337,390,314,132
18,40,113,248,435,626,710,575,252
12,18,46,98,184,289,348,283,116
14,23,60,139,257,384,445,360,155
18,37,100,234,473,788,978,799,331
16,27,70,178,376,630,786,647,269
14,21,51,131,283,470,574,467,192
14,21,51,131,283,470,574,467,192
14,24,54,119,247,431,565,478,195
12,18,37,89,197,336,424,353,145
14,23,52,119,263,467,593,487,198
13,18,33,77,189,349,452,372,147
18,36,99,232,458,775,1030,908,386
18,36,99,232,458,775,1030,908,386
16,29,74,172,343,582,777,685,289
16,28,72,173,358,616,804,688,287
12,17,36,93,208,352,430,352,146
14,22,53,127,267,458,588,495,204
14,23,55,127,255,444,592,503,208
18,39,109,246,452,670,770,622,270
12,17,40,94,200,330,384,302,124
18,33,90,237,521,899,1153,974,401
18,33,90,237,521,899,1153,974,401
18,33,90,237,521,899,1153,974,401
16,25,64,178,405,699,883,743,310
16,25,64,178,405,699,883,743,310
14,20,47,132,301,512,637,530,220
14,20,47,132,301,512,637,530,220
12,17,36,94,214,367,446,360,150
14,21,48,125,286,509,658,552,226
16,26,64,172,394,691,896,761,313
16,27,69,180,388,642,808,684,280
16,27,67,175,395,678,829,667,270
16,27,73,190,392,630,766,629,260
12,15,36,101,222,361,434,354,146
12,16,36,95,220,366,438,353,142
18,35,95,230,475,827,1114,987,420
18,35,95,230,475,827,1114,987,420
14,21,49,124,278,494,644,546,226
14,21,49,124,278,494,644,546,226
16,27,68,169,364,647,867,757,320
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
18,30,83,241,556,966,1238,1059,452
16,24,63,185,423,713,881,746,326
16,24,63,185,423,713,881,746,326
16,24,63,185,423,713,881,746,326
14,19,47,136,313,526,638,536,236
14,20,48,132,301,514,645,544,228
14,19,46,135,312,527,642,534,232
16,25,64,177,404,707,902,760,324
18,35,95,234,491,836,1063,892,372
16,25,65,178,399,686,863,720,302
16,25,65,178,399,686,863,720,302
14,20,48,130,294,507,637,529,220
18,31,86,238,530,927,1216,1062,466
18,31,86,238,530,927,1216,1062,466
18,31,86,238,530,927,1216,1062,466
18,31,86,238,530,927,1216,1062,466
18,31,86,238,530,927,1216,1062,466
16,25,65,179,399,687,881,756,327
16,25,65,179,399,687,881,756,327
14,21,51,126,273,483,638,547,230
14,20,48,130,292,513,656,548,234
14,20,48,130,292,513,656,548,234
14,20,48,130,292,513,656,548,234
18,32,86,239,554,955,1164,932,378
18,32,86,239,554,955,1164,932,378
16,25,62,176,417,724,887,724,302
16,25,62,176,417,724,887,724,302
14,21,45,128,307,526,638,534,232
14,20,45,128,309,539,652,522,215
14,20,45,128,309,539,652,522,215
13,16,30,86,220,388,458,356,144
