"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11"
1,-2.23606797749979,-2.22580021572915,-1.7320508075688774,-1.7320508075688774,-1.0000000000000009,-0.9999999999999997,-0.7258601557039954,1.7320508075688754,1.7320508075688763,2.23606797749979,4.951660371433145
1,-2.4728339089952556,-2.0655413709969186,-1.7688644836490004,-1.4625984229747744,-1.0000000000000009,-1.,-0.6863910231749293,1.459032091208826,1.9354323319700302,2.2918325451166357,4.769932241495386
1,-2.396667922552537,-2.000000000000004,-1.8552503762744963,-1.7664390312640201,-1.5320888862379525,-0.4503403335994663,-0.3472963553338606,1.3341257718205861,1.8793852415718173,2.107839813332695,5.026732078537238
1,-2.3609385416044493,-2.000000000000001,-1.9999999999999996,-1.5661553449685266,-1.5320888862379547,-0.34729635533386016,-0.3393613302204324,1.1592682540315846,1.8793852415718177,2.2772697804505873,4.829917182311236
1,-2.3379987399677575,-1.9999999999999996,-1.8564061784171353,-1.7364526766583623,-1.4990088048680592,-0.4882383321392959,-0.3375159098913405,1.312282786941374,2.0255636669035493,2.095044196467411,4.822729991629619
0,-2.3164401709691687,-2.2281724339207467,-1.8068447549220523,-1.6419555072131204,-1.092607170421309,-0.5164892622160873,-0.3354390489467693,1.3294606320798117,1.871432196529513,2.3264401527561596,4.410615367243767
1,-2.2734612171759934,-2.247940971793002,-1.8610293571013161,-1.6052474294721368,-1.4378287795591493,-0.42883267138873915,-0.32665684844882337,1.2719457216200512,1.9228280193183365,2.1401226681238827,4.846100865876892
0,-2.400417722495226,-2.101764501169933,-1.7699667068145344,-1.6069085938059082,-1.4315640030865153,-0.3896690597852813,-0.332252139486603,1.1548620215121612,1.993374492140024,2.261062457978911,4.623243755012904
1,-2.433465267562751,-2.273461217175993,-1.9525094728004349,-1.43782877955915,-1.2809767792270672,-0.4571967282612473,-0.4288326713887388,1.2497589705911565,1.8207925010558736,2.1401226681238823,5.053596776204467
1,-2.2835682932850867,-2.2734612171759947,-1.9999999999999998,-1.4378287795591498,-1.1783815890665648,-0.6799370835372308,-0.42883267138874087,1.5554662741725902,1.7400725302312965,2.1401226681238836,4.846348161484995
1,-2.48260006596828,-2.2821681115762216,-1.7971401665735203,-1.0000000000000004,-1.,-1.,-0.36585884637508626,1.2615010440802432,1.8217545596438534,2.4396581751628426,4.404853411606165
1,-2.4079698926508173,-2.0000000000000004,-2.,-1.181523350831412,-1.0000000000000004,-0.7627549332153162,-0.4142135623730959,1.04329633542817,2.097597363718843,2.4142135623730967,4.211354477550534
1,-2.74874455250208,-2.1181348489809033,-1.6504413050340818,-1.2169682011427305,-1.,-0.7888433751881103,-0.34043087920219944,0.7844442166026814,2.0152409212025817,2.438998501751518,4.624879522493322
1,-2.444002734876381,-2.1262526538505337,-1.8340476893832027,-1.6670174823146358,-1.3076403833956676,-0.5052954757321466,-0.29157283936124784,1.4750069582343912,1.7603020932694293,2.0643367240789434,4.876183483331046
0,-2.3559796263927333,-2.1517937650864054,-1.8444520623040204,-1.668191019561435,-1.1683651673009623,-0.594551621231777,-0.33799439632352324,1.4634834537101868,1.9428644161511088,2.0653043114219063,4.649675476917657
0,-2.515487494478367,-2.244065839984253,-1.7941785996052704,-1.2040424330525519,-0.9999999999999997,-0.6646570740611151,-0.33504199519009686,1.4431764050450233,1.7549179678009021,2.347366648013175,4.212012415512556
1,-2.3981359863640135,-2.,-1.9999999999999996,-1.5320888862379567,-1.2530891581881223,-0.3906932272652144,-0.34729635533385894,1.3776288582856349,1.8793852415718155,2.2317285801670663,4.432560933364649
1,-2.8307588506041785,-2.0000000000000004,-1.8966815533024095,-1.4363309145664749,-1.414213562373093,-0.10297405808504728,1.5420227169887484e-15,0.8704486180417602,1.4142135623730943,2.2480674167529626,5.148229341763382
1,-2.506765578012385,-2.1246233717109013,-2.000000000000002,-1.4142135623730954,-1.159199899373935,-0.385124593034374,-6.317103957986792e-16,1.2056895872055169,1.4142135623730954,2.493615725990462,4.476408128935619
1,-2.4514050313476714,-2.305921563519773,-1.8600845483257011,-1.4771743198394678,-1.2571673526382732,-0.25697549776512707,7.986321638353756e-16,0.7619969090399464,1.796322711203463,2.3583006411906764,4.692108052001924
1,-2.6734137895630448,-2.1891916140308942,-1.8924415136330832,-1.438647129190344,-1.14278414294689,-0.4318810322581673,-0.2514533595083887,1.1231233178840476,1.3771829436346992,2.4513139686660494,5.068192350946014
0,-2.474129685082873,-2.1263062393427123,-1.8845080871310094,-1.5635318555808146,-1.2671768347228118,-0.5371986044929087,-0.23471245125958506,1.2006059466897279,1.5594872743959383,2.5034067268416007,4.824063809685448
1,-2.462738911075573,-2.128306683892384,-1.9033822312565576,-1.5615187161701696,-1.0931773956182265,-0.5633245273169931,-0.19418999913466878,0.9668698401668656,1.8389418751080624,2.4858648247449233,4.614961924444721
0,-2.6725797727152907,-2.203583029888163,-1.7433211528686319,-1.4088641780054518,-0.9999999999999994,-0.4666833294377132,-0.13002391185116802,0.6649314837987799,1.6672294443258748,2.6646554622980836,4.628238984343682
0,-2.6997199586301734,-2.1556166819283202,-1.5741004345820513,-1.3845657541414098,-1.0000000000000004,-0.6317434811076528,-0.2970251179776001,1.0505474210917765,1.6604245626128753,2.6217718550290106,4.410027589633543
1,-2.483622196828655,-2.4436663459332926,-1.710389669887627,-1.3654692552625936,-0.8825029263439153,-0.4988836106175299,-0.3812944057315447,0.7276264437884393,1.8511522322197678,2.565408143594578,4.621641591002376
0,-2.58475165572836,-2.0000000000000018,-1.8101043819612443,-1.3385243989268916,-1.0000000000000002,-0.5503453773146499,-0.3262300206193123,0.5266023233534091,2.02250157376443,2.6512247080845484,4.409627229348072
1,-2.489799883210905,-2.2277496500938603,-1.9069110320385627,-1.8019377358048436,-0.969226367338799,-0.4450418679126273,-0.15597377630052858,1.1784175819692086,1.2469796037174663,2.5231910620032236,5.0480520650102205
0,-2.5718660835650993,-2.095910168943718,-1.8553877648506598,-1.7187902938872908,-1.0000000000000002,-0.5495556378336677,-0.11360645294709493,1.0192085543810145,1.462552094495355,2.582498145747994,4.840857607403169
0,-2.4747859978310496,-2.171845619415562,-1.913495299084617,-1.6854261793642584,-0.9507243629699729,-0.4995299783495988,-0.3182307724235676,1.0486789161355718,1.617075177760815,2.514741771958466,4.833542343583774
0,-2.6693704618103378,-1.9674929689363385,-1.7800675638461112,-1.4760732705492698,-1.,-0.5983275692511418,-0.3358027152441384,1.167591222102683,1.7105991968678471,2.538547538621529,4.410396592045277
0,-2.4741266937332758,-2.1812557305593954,-1.945511532786192,-1.517188594208564,-0.9999999999999999,-0.47464456766843693,-0.22053453544065635,0.8435693870317071,1.846580960904087,2.496381174167519,4.626730132293207
1,-2.5727121359343266,-2.2275649932934307,-1.7423383355309312,-1.505629759932404,-1.,-0.5733364620060171,-0.18935609576423434,0.8894478954964764,1.7847041013393685,2.4939790470222465,4.6428067386032525
