"COEFFICIENTS","COLOR_COVERS4","COLOR_COVERS5","COLOR_COVERS6","CYCLE_COUNT3","CYCLE_COUNT4","CYCLE_COUNT5","CYCLE_COUNT6","CYCLE_COUNT7","CYCLE_COUNT8","CYCLE_COUNT9"
1,0,4200,291600,31,87,271,795,1964,3870,5683
0,0,8040,390240,29,90,283,819,2006,3931,5810
-1,0,5520,319680,31,89,270,778,1925,3803,5620
1,48,10080,419760,29,91,282,808,1979,3904,5774
1,0,4080,290880,31,86,275,805,1954,3838,5682
0,0,11280,478800,27,92,301,845,2028,3978,5940
0,120,14040,485640,28,91,293,829,2015,3979,5898
-1,0,11160,547200,25,63,184,514,1214,2273,3232
0,96,19200,712080,23,66,195,531,1230,2302,3289
0,96,17040,653760,24,65,190,518,1209,2292,3278
1,24,7320,368280,32,87,251,659,1426,2416,3045
1,0,1800,181440,36,110,321,803,1666,2765,3427
-1,0,13440,660240,26,63,171,428,894,1471,1879
-1,24,10200,484920,28,77,216,528,1058,1715,2180
0,480,65400,1875600,15,33,83,184,366,587,742
-1,0,4800,336240,31,80,203,468,916,1463,1840
0,48,21360,889200,22,52,135,310,598,957,1206
1,0,4320,282240,33,95,262,648,1322,2133,2536
-1,0,3360,308160,31,82,218,514,992,1514,1753
1,192,44760,1538640,17,30,69,174,370,603,725
-1,960,101880,2714400,13,17,37,93,206,333,388
-1,96,20520,836640,23,53,123,282,581,986,1231
-1,48,12600,594720,26,67,174,397,754,1175,1393
0,144,34440,1231920,19,41,105,256,495,746,866
0,1104,112560,2890080,12,19,41,99,197,312,380
1,480,57720,1702800,17,35,80,179,320,485,583
1,0,3960,307440,33,89,222,473,827,1172,1286
1,336,58920,1900080,17,29,61,120,216,333,406
-1,96,25560,1020240,23,48,102,206,362,524,601
1,0,1800,201600,39,102,262,603,1173,1852,2241
0,0,8040,462960,28,80,216,504,1012,1643,2040
0,576,47520,1283040,20,54,142,312,597,957,1172
-1,96,22440,875520,23,52,123,284,566,910,1113
0,96,21840,868320,23,57,130,273,514,823,1073
0,864,77280,2008800,15,36,80,171,334,568,733
-1,96,19080,791280,24,54,118,257,528,906,1140
0,912,74280,1923840,16,34,79,162,324,565,735
0,0,7320,376560,32,98,266,642,1294,2162,2922
1,0,3240,246960,38,108,273,617,1214,2039,2664
0,144,23760,810000,24,65,174,395,769,1291,1758
0,144,23880,832320,23,62,175,415,826,1396,1863
0,624,69120,1915920,15,35,79,179,354,578,728
0,96,25200,946080,22,56,133,295,568,894,1143
-1,0,13680,710640,24,58,135,280,514,848,1165
1,0,3000,288000,33,89,229,496,871,1232,1394
1,288,47040,1537920,18,35,72,160,304,476,552
0,72,14880,542520,29,90,266,675,1471,2561,3382
1,24,7920,380520,31,88,243,633,1396,2471,3233
1,0,2880,206640,36,107,307,790,1710,2957,3832
0,96,19680,707760,24,75,212,522,1130,2006,2724
-1,0,6600,424080,28,71,188,475,1057,1908,2569
1,0,19680,855360,22,47,120,295,646,1116,1464
-1,216,31920,1074600,20,49,129,316,655,1132,1506
0,0,33120,1341360,18,34,72,162,351,620,803
-1,144,26880,976320,21,49,121,300,651,1150,1533
0,72,18000,661320,25,72,209,519,1118,2002,2760
0,0,11760,518400,28,81,222,514,1010,1630,2114
-1,0,6120,398160,29,77,204,492,1028,1738,2172
-1,0,9360,544320,26,68,177,397,773,1238,1544
1,624,75600,2045520,14,34,88,186,366,577,724
1,576,61440,1766880,16,33,78,174,357,600,743
0,0,12000,489600,29,93,266,651,1366,2346,3237
1,0,1080,141120,38,112,308,740,1518,2593,3474
0,336,46320,1340640,18,52,137,316,652,1117,1513
-1,96,23400,907920,22,49,116,279,597,1058,1427
0,0,10200,512640,27,74,200,485,1038,1836,2541
1,24,6120,307080,33,94,288,809,1887,3482,4782
1,24,7200,335880,32,98,295,807,1871,3512,4906
0,96,14640,498240,29,102,316,846,1941,3589,5048
0,0,7320,340560,32,97,296,812,1892,3546,4972
-1,0,2280,203040,35,96,274,746,1786,3390,4740
1,0,6360,381600,29,76,220,628,1523,2925,4098
1,0,3120,246240,33,94,288,813,1916,3556,4888
0,0,10560,481680,27,76,234,673,1597,2978,4176
-1,120,17280,623880,26,71,202,524,1130,1996,2696
0,0,9480,492480,27,71,197,504,1110,1964,2627
-1,24,14160,608760,25,72,211,534,1152,2007,2703
1,96,25560,982800,20,48,132,323,682,1186,1574
1,192,27600,969840,21,49,128,312,652,1148,1583
0,96,27240,1015200,20,47,123,320,696,1189,1534
-1,0,9360,508320,26,70,200,517,1142,2040,2766
1,0,1080,141120,38,113,316,765,1536,2477,3062
0,0,11160,551520,26,71,202,517,1123,1929,2500
