"COEFFICIENTS","DEN_WALKS2","DEN_WALKS3","DEN_WALKS4","DEN_WALKS5","DEN_WALKS6","DEN_WALKS7","DEN_WALKS8","DEN_WALKS9","DEN_WALKS10","DEN_WALKS11","FGRAPH_WALKS2","FGRAPH_WALKS3","FGRAPH_WALKS4","FGRAPH_WALKS5","FGRAPH_WALKS6","FGRAPH_WALKS7","FGRAPH_WALKS8","FGRAPH_WALKS9","FGRAPH_WALKS10","FGRAPH_WALKS11"
1,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,93,700,3710,22967,134435,807476,4803411,28702742,171213911
0,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,87,712,3630,23147,133602,809504,4795305,28722712,171133182
-1,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,93,708,3695,23039,133945,806460,4786356,28614547,170538346
1,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,87,716,3615,23159,133161,807788,4779420,28627687,170479188
1,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,93,696,3730,22943,134904,808864,4818513,28787292,171815754
0,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,81,720,3580,23303,133350,813040,4803093,28831632,171664152
0,27,54,357,1460,7611,36358,181797,894132,4435867,21936310,32,84,716,3605,23240,133574,812084,4804617,28813757,171640216
-1,26,48,318,1205,6167,27916,135402,638022,3056086,14534333,30,75,558,2685,15831,86254,488118,2720694,15275595,85510326
0,26,48,318,1205,6167,27916,135402,638022,3056086,14534333,30,69,570,2600,16041,85302,490946,2711337,15312410,85443864
0,26,48,318,1205,6167,27916,135402,638022,3056086,14534333,30,72,566,2640,15972,85834,490366,2720160,15321950,85648574
1,27,54,375,1560,8304,40320,204907,1023336,5155452,25881944,31,93,679,3655,22366,131159,783415,4649304,27668236,164488434
1,27,54,375,1560,8304,40320,204907,1023336,5155452,25881944,32,108,816,4705,30140,186550,1170432,7309224,45728757,285906588
-1,26,48,330,1280,6605,30506,149290,714468,3460301,16680510,29,72,529,2535,14669,79247,441937,2435913,13500479,74669199
-1,26,48,326,1270,6524,30177,147354,704838,3408046,16408623,30,84,630,3250,19704,112462,659166,3823374,22278190,129570034
0,24,36,248,805,3951,16100,72920,315198,1399619,6141080,26,45,362,1330,7481,33964,173602,834777,4151946,20285716
-1,26,48,332,1295,6719,31178,153196,735987,3577036,17303946,30,93,650,3500,21081,122640,724818,4261035,25110110,147843278
0,25,42,287,1025,5149,22421,105651,481659,2237170,10308155,28,66,484,2215,12640,66150,360836,1935795,10467833,56418846
1,27,54,385,1590,8604,41755,214077,1072971,5439327,27440809,31,99,727,4025,25066,149982,913167,5524245,33513131,203085399
-1,26,48,332,1290,6725,31143,153300,736041,3579166,17312108,30,93,658,3585,21705,127141,755114,4463688,26438045,156478168
1,24,36,252,795,3984,15897,72700,311058,1385424,6050176,26,51,350,1370,7199,33425,166222,803274,3945396,19247580
-1,23,33,219,650,3095,11711,51059,208248,885873,3694867,24,39,260,890,4371,18403,84436,373773,1688214,7561125
-1,25,42,299,1010,5305,22246,107283,480876,2256165,10327504,28,69,488,2220,12655,65730,359024,1918851,10377928,55828872
-1,26,48,338,1325,6965,32473,160978,777540,3805806,18518830,29,78,573,2870,16997,94479,540517,3056613,17377314,98570175
0,25,42,289,1045,5290,23268,110313,506661,2366670,10973600,27,57,415,1780,9900,49301,259371,1331517,6918327,35747382
0,23,30,219,620,3104,11494,51227,206967,888318,3690841,24,36,268,855,4488,18130,85828,372825,1706649,7586612
1,24,36,250,820,4047,16625,75722,329256,1469949,6483213,26,51,378,1505,8345,39431,203754,1005270,5090881,25420890
1,27,54,417,1715,9699,47229,249361,1264725,6558597,33622501,30,96,686,3755,22920,135261,810158,4830126,28857555,172295101
