n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,ts
997,5,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.49987457909001454,4.592488919658672,0.9362908289486299,0.00039131197385557407,1762124812.1370242
534,4,0.19875765715516736,0.6225646316108401,0.88879950890673,4.692763545078752,0.007787658410143285,0.9253754723375547,0.0003324441259313137,1762126805.5250928
1192,9,0.18737941654160148,0.6028265220878869,0.6092249700165663,2.623873301291946,3.998609717152556,0.9416775149619265,0.00022972953395542067,1762133192.6184006
247,12,0.07750368872478823,0.6362425738131283,0.847354403733235,1.9123099563358141,9.832308858067885,0.9393354218528251,0.0003530348589420667,1762135023.921232
667,11,0.20728918619045614,0.7801997007878172,0.6053059844639466,4.711008778424265,5.632882178455394,0.9438739511489466,0.0002625289349238156,1762139405.2892036
585,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,3.049983288913105,8.331949117361646,0.9122242226206362,0.0005275247096606962,1762141452.917482
373,7,0.06284846545853807,0.9021445641270611,0.7700623497964979,1.0397083143409445,5.677003278199916,0.9264777297948852,0.0005051311260526017,1762143202.2733548
231,11,0.14042869867723207,0.7580600944007259,0.9706635463175177,3.636359979282105,3.2654076880583545,0.9411975292063259,0.0003723903876052384,1762144794.3502953
770,8,0.2887398870613113,0.9378135394712607,0.8989280440549523,2.6984606619453992,5.8675116566384835,0.9436438492598566,0.00019929432986938748,1762148508.5573053
1165,8,0.09003976278653758,0.718509402281633,0.666106775625201,0.07818203370596967,4.234014807063698,0.9422039043024458,0.000349139082697834,1762153938.0726326
200,12,0.3,0.8561217227481659,0.6817044100193879,0.2737145640013954,5.190487950670775,0.9399455488331775,0.00022364057495445616,1762155433.0818193
1200,12,0.01,0.9743211900957954,0.7956587976557337,4.970515782304325,0.7921106434416124,0.9379462623146599,0.0003838860043551914,1762163992.7946532
1200,12,0.3,0.94108500679532,0.7332199745266155,1.4283329142845556,6.596679226652016,0.9473131302936743,0.0002063816098742393,1762172869.0173266
1195,10,0.29090971919091596,0.7489752309822941,0.7506593577874903,4.842310072024381,2.277698220071867,0.942524723615764,0.0003179110669097782,1762180381.9110718
1132,12,0.019345138434146914,0.8363033977770072,0.7007918513334211,0.07818310132601314,8.762391425890904,0.942385100474934,0.0003474753179590322,1762188451.168217
823,12,0.3,0.6732980105383946,1.0,0.0,0.0,0.9398185862960542,0.00022838429825509671,1762194254.0870657
1200,9,0.3,1.0,0.7654494065938375,4.298781119340319,10.0,0.9456604152794629,0.000343770299665722,1762200502.588173
1200,12,0.16455096967617555,1.0,0.9456344018515126,0.0,2.878224754944831,0.9489334910168488,0.000320129174268543,1762208434.3400364
848,3,0.29914516191270385,0.9891357658677158,0.6925850918772026,4.975883623624316,5.534614233524757,0.9247714083622187,0.0003514894956404612,1762211317.0198295
1192,12,0.11356681985020299,0.6062375795342438,0.8662175602959166,3.74448466036252,7.732138318615339,0.9457928674213765,0.0003548654647443623,1762220263.7859209
1126,12,0.010056127490657693,0.6043053747769731,0.7763174639363135,4.792906043337938,0.6607550268819719,0.9365199759659759,0.00033302762884231644,1762228208.641578
205,6,0.29093539174826005,0.6840761068481508,0.6787911797188682,0.7358476410437543,9.196068494753307,0.9286570827189937,0.00023211065006176158,1762229173.4228556
803,12,0.28578314731690985,0.884544321387688,0.9947022431687205,3.5136092469783535,7.354480503615082,0.9463593624176536,0.00030689981456663335,1762235220.2911348
1132,10,0.11746491499511943,0.9854272371502776,0.9871487641469088,0.6143338811097633,9.659037654958095,0.9474009123790262,0.00035425659633661036,1762241436.5286207
1193,8,0.19536420291934467,0.995542952914464,0.7761350806243063,1.3378739921014446,0.8590438053687156,0.9451301482694145,0.0003910763276340539,1762246943.4895828
1145,5,0.02376391815179959,0.9453752421259974,0.8152106328266778,3.394365012569203,0.8763964244264001,0.918844854239455,0.00042432439760498134,1762251330.8085067
297,12,0.1158048547161316,0.9987245081968515,0.6164038506203414,0.14332333676774003,8.468810963075343,0.9436089724968711,0.0004317464766319219,1762253468.8487298
302,11,0.20557068772313702,0.9962709053626942,0.8960292297330442,0.03764733031371815,2.1682188816202723,0.9433865846707921,0.0004145563332981255,1762255385.0847516
1171,12,0.23023545346373248,0.9737184273549645,0.9564142833045591,4.143139596592247,3.7434272593863045,0.9484678760965105,0.000284730629883778,1762263982.935101
1160,4,0.27800314682959465,0.6014230564638708,0.9941818379496049,3.77272351947139,6.990427245013066,0.9332281835623079,0.00043753706938779813,1762268178.169099
