feature,importance,mean_signed_shap
Spectral_lap_eig_1,5.0337977,-2.8308032
Motif_induced_connected_per_4set,1.2205518,-0.16693972
Motif_triangle_edge_frac_ge2,0.7850999,-0.28298393
Spectral_lap_eig_2,0.6068085,0.17024982
Centrality_eigenvector_skew,0.60117376,-0.053810876
Centrality_betweenness_std,0.5990783,0.36247972
Centrality_closeness_std,0.4328732,0.061062366
Motif_triangle_edge_frac_zero,0.4327281,-0.038015544
Centrality_eigenvector_std,0.42660177,-0.017036738
Motif_triangle_edge_incidence_std,0.4175294,-0.056306873
Centrality_closeness_skew,0.31184012,0.022056187
Centrality_eigenvector_max,0.30257055,-0.17958707
Centrality_betweenness_skew,0.29940167,0.009507678
Centrality_closeness_mean,0.2911783,-0.16255544
Spectral_lap_eig_8,0.2848582,-0.10722724
Spectral_lap_eig_3,0.25970486,0.01137375
Motif_4_cycles_per_Cn4,0.25928497,-0.029509638
Motif_4_cycles,0.24899966,-0.087107785
Spectral_lap_eig_7,0.24263218,-0.057649303
Centrality_betweenness_max,0.23125832,0.008353893
Spectral_lap_eig_9,0.20867676,-0.09818793
Spectral_lap_eig_4,0.1998545,-0.10407877
Motif_wedges_per_max,0.18780562,0.14733411
Motif_triangle_edge_incidence_mean,0.16286865,-0.086443625
Spectral_lap_eig_6,0.158048,-0.045694567
Motif_wedges,0.15753555,0.08493906
Spectral_lap_eig_5,0.15164956,-0.041424032
Centrality_eigenvector_mean,0.14668447,-0.035607364
Centrality_closeness_mean_norm,0.13365786,-0.057736248
Centrality_betweenness_mean,0.09156867,0.018830694
Centrality_closeness_max,0.08313985,-0.06142364
Spectral_lap_eig_0,0.06070924,-0.016208937
Motif_triangles_per_Cn3,0.05637813,-0.024035687
Motif_induced_g_1_4,0.051070888,-0.02331619
Motif_induced_g_4_4,0.046466548,-0.013230194
Motif_induced_g_4_4_per_Cn4,0.044417247,-0.0017736204
Motif_induced_g_5_4,0.041578252,-0.0111391675
Motif_5_cycles,0.040046025,-0.011644665
Motif_induced_connected_per_5set,0.039082713,-0.008227321
Motif_induced_g_1_4_per_Cn4,0.038753618,0.006496682
Motif_triangles,0.0364365,0.006449787
Centrality_closeness_max_norm,0.035364024,-0.0008396426
Motif_5_cycles_per_Cn5,0.033978067,-0.0063340147
Motif_induced_g_5_4_per_Cn4,0.0336573,-0.0027125136
Motif_induced_g_2_4_per_Cn4,0.032904435,-0.0017264317
Motif_induced5_g_2_5,0.031904813,-0.006715515
Motif_induced_g_2_4,0.031501677,-0.0057662744
Motif_induced5_g_5_5,0.030478494,-0.008241403
Motif_induced5_g_4_5_per_Cn5,0.027163425,-0.0021635701
Motif_induced_g_3_4_per_Cn4,0.026957568,-0.001775164
Motif_induced5_g_2_5_per_Cn5,0.026843632,-0.0049756616
Motif_induced5_g_4_5,0.026648141,-0.0061322977
Motif_induced5_g_1_5,0.026360767,-0.0059291883
Motif_induced5_g_9_5,0.026339347,-0.0055667926
Motif_induced5_g_5_5_per_Cn5,0.025362622,-0.0045623407
Motif_induced5_g_1_5_per_Cn5,0.025059732,-0.002833121
Motif_induced5_g_9_5_per_Cn5,0.024756236,-0.0026920175
Motif_induced5_g_8_5,0.024248837,-0.004610907
Motif_induced5_g_11_5,0.022102822,-0.004091468
Motif_induced_g_3_4,0.020990685,-0.0055459403
Motif_induced5_g_15_5,0.020207044,-0.0032827838
Motif_induced5_g_3_5,0.019782646,-0.0029309944
Motif_induced5_g_6_5,0.019604413,-0.0041082697
Motif_induced5_g_10_5,0.019523809,-0.0031013621
Motif_induced5_g_8_5_per_Cn5,0.01824445,-0.00092487154
Motif_induced5_g_15_5_per_Cn5,0.018002613,-0.0038596035
Motif_induced5_g_6_5_per_Cn5,0.017854596,-0.0020034367
Motif_induced5_g_7_5,0.017495226,-0.00268621
Motif_induced5_g_11_5_per_Cn5,0.016594334,-0.0018377639
Motif_induced5_g_10_5_per_Cn5,0.013786368,-0.00078722124
Motif_induced5_g_3_5_per_Cn5,0.012302191,-0.0015186728
Motif_induced5_g_7_5_per_Cn5,0.011269541,-0.0013389348
Motif_induced5_g_16_5,0.010321214,-0.0003682266
Motif_induced5_g_18_5,0.0092033995,-0.0015905533
Motif_induced5_g_0_5,0.007281758,-0.0006753039
Motif_induced5_g_16_5_per_Cn5,0.0054327687,-0.00046414117
Motif_5_cycles_per_Kn,0.004930145,-0.000812887
Motif_induced5_g_0_5_per_Cn5,0.0029323653,-0.00014015399
Motif_induced5_g_18_5_per_Cn5,0.0025024316,-0.00028670652
Motif_induced5_g_12_5,0.0018059147,-0.00024229195
Motif_triangle_edge_incidence_median,0.0016871704,-0.00014717471
Motif_induced5_g_12_5_per_Cn5,0.0003464133,-6.816604e-05
Motif_induced5_g_14_5,0.00024822672,-6.277109e-05
Motif_induced5_g_13_5,3.869491e-05,7.121797e-06
Motif_induced5_g_14_5_per_Cn5,2.764718e-05,2.718853e-06
Motif_induced5_g_17_5,1.804997e-05,-9.553356e-06
Motif_induced_g_6_4_per_Cn4,1.722668e-05,-1.8454936e-06
Motif_induced_g_6_4,1.5673219e-05,2.367167e-06
Motif_induced5_g_13_5_per_Cn5,1.3645458e-06,1.0824393e-06
Motif_4_cliques,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
