decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,2,2,0.7318991,0.73371005,0.73280454,0,1.0,0.08333333333333333,0.08333333333333333
2,2,1,0.7492412,0.75582,0.7525306,1,0.5,0.041666666666666664,0.125
3,1,1,0.7561195,0.7561195,0.7561195,0,1.0,0.041666666666666664,0.16666666666666666
4,2,1,0.7565025,0.7635919,0.7600472,1,0.5,0.041666666666666664,0.20833333333333331
5,1,1,0.763645,0.763645,0.763645,0,1.0,0.041666666666666664,0.24999999999999997
6,2,2,0.77372265,0.77428895,0.7740058,0,1.0,0.08333333333333333,0.3333333333333333
7,1,1,0.77658224,0.77658224,0.77658224,0,1.0,0.041666666666666664,0.375
8,2,2,0.77737266,0.77868104,0.7780268,0,1.0,0.08333333333333333,0.4583333333333333
9,1,1,0.7790059,0.7790059,0.7790059,0,1.0,0.041666666666666664,0.5
10,2,2,0.78158796,0.78456026,0.78307414,0,1.0,0.08333333333333333,0.5833333333333334
11,2,2,0.7851369,0.78655684,0.7858468,0,1.0,0.08333333333333333,0.6666666666666667
13,3,1,0.7875936,0.7875936,0.7875936,2,0.3333333333333333,0.041666666666666664,0.7083333333333334
14,1,0,0.78764665,0.78764665,0.78764665,1,0.0,0.0,0.7083333333333334
15,2,1,0.7883491,0.79551345,0.7919313,1,0.5,0.041666666666666664,0.75
16,1,1,0.7964175,0.7964175,0.7964175,0,1.0,0.041666666666666664,0.7916666666666666
17,2,2,0.79696226,0.7988767,0.7979195,0,1.0,0.08333333333333333,0.875
18,1,1,0.7991767,0.7991767,0.7991767,0,1.0,0.041666666666666664,0.9166666666666666
19,2,1,0.80034745,0.80062276,0.80048513,1,0.5,0.041666666666666664,0.9583333333333333
20,1,1,0.80149966,0.80149966,0.80149966,0,1.0,0.041666666666666664,0.9999999999999999
