decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,2,2,0.7210571,0.7242884,0.72267276,0,1.0,0.08333333333333333,0.08333333333333333
2,2,0,0.7431506,0.7432684,0.7432095,2,0.0,0.0,0.08333333333333333
3,1,1,0.7478079,0.7478079,0.7478079,0,1.0,0.041666666666666664,0.125
4,2,2,0.75100386,0.7583976,0.7547007,0,1.0,0.08333333333333333,0.20833333333333331
5,1,0,0.7735217,0.7735217,0.7735217,1,0.0,0.0,0.20833333333333331
6,2,2,0.7737313,0.7741045,0.7739179,0,1.0,0.08333333333333333,0.29166666666666663
7,1,1,0.7762901,0.7762901,0.7762901,0,1.0,0.041666666666666664,0.3333333333333333
8,2,2,0.77670723,0.7820238,0.77936554,0,1.0,0.08333333333333333,0.41666666666666663
9,1,1,0.782608,0.782608,0.782608,0,1.0,0.041666666666666664,0.4583333333333333
10,2,2,0.7847464,0.786295,0.7855207,0,1.0,0.08333333333333333,0.5416666666666666
11,2,0,0.7863124,0.7863523,0.78633237,2,0.0,0.0,0.5416666666666666
12,1,1,0.78697646,0.78697646,0.78697646,0,1.0,0.041666666666666664,0.5833333333333333
13,2,2,0.78706664,0.7951723,0.79111946,0,1.0,0.08333333333333333,0.6666666666666666
14,1,1,0.79597896,0.79597896,0.79597896,0,1.0,0.041666666666666664,0.7083333333333333
15,2,1,0.79830205,0.79883367,0.7985679,1,0.5,0.041666666666666664,0.7499999999999999
16,1,1,0.7994437,0.7994437,0.7994437,0,1.0,0.041666666666666664,0.7916666666666665
17,2,2,0.80563426,0.808847,0.8072406,0,1.0,0.08333333333333333,0.8749999999999999
18,1,1,0.81052846,0.81052846,0.81052846,0,1.0,0.041666666666666664,0.9166666666666665
19,2,1,0.81124884,0.81183875,0.8115438,1,0.5,0.041666666666666664,0.9583333333333331
20,1,1,0.81210065,0.81210065,0.81210065,0,1.0,0.041666666666666664,0.9999999999999998
