feature,importance,mean_signed_shap
Spectral_lap_eig_2,0.058920037,0.0042507015
Motif_induced5_g_15_5,0.05615651,0.01011064
Motif_induced_connected_per_4set,0.053562853,-0.00218918
Spectral_lap_eig_1,0.04667136,0.0121534215
Spectral_lap_eig_6,0.03398941,0.003803358
Motif_induced5_g_9_5,0.018926479,-0.003966764
Spectral_lap_eig_9,0.017078852,0.00039827632
Motif_induced5_g_15_5_per_Cn5,0.015458563,0.0026296857
Motif_induced_connected_per_5set,0.010898804,0.0006503115
Motif_induced5_g_5_5,0.0096150655,-0.00068662834
Spectral_lap_eig_0,0.008876803,-0.00019691836
Motif_wedges_per_max,0.007343779,0.00042644943
Motif_induced5_g_2_5,0.0042962995,-0.0001673145
Motif_induced_g_1_4,0.0026868978,0.00010875515
Motif_4_cycles,0.0017069763,0.00020886346
Motif_induced5_g_4_5_per_Cn5,0.0011231179,0.0002617657
Motif_induced5_g_3_5,0.0,0.0
Motif_induced5_g_3_5_per_Cn5,0.0,0.0
Motif_induced5_g_4_5,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_induced5_g_6_5,0.0,0.0
Motif_induced5_g_2_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced5_g_1_5_per_Cn5,0.0,0.0
Motif_induced5_g_1_5,0.0,0.0
Motif_induced5_g_18_5_per_Cn5,0.0,0.0
Motif_induced5_g_18_5,0.0,0.0
Motif_induced5_g_5_5_per_Cn5,0.0,0.0
Motif_induced5_g_8_5_per_Cn5,0.0,0.0
Motif_induced5_g_6_5_per_Cn5,0.0,0.0
Motif_induced_g_3_4,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_induced_g_5_4_per_Cn4,0.0,0.0
Motif_induced_g_5_4,0.0,0.0
Motif_induced_g_4_4_per_Cn4,0.0,0.0
Motif_induced_g_4_4,0.0,0.0
Motif_induced_g_3_4_per_Cn4,0.0,0.0
Motif_induced_g_2_4_per_Cn4,0.0,0.0
Motif_induced5_g_7_5,0.0,0.0
Motif_induced_g_2_4,0.0,0.0
Motif_induced_g_1_4_per_Cn4,0.0,0.0
Motif_induced5_g_9_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_8_5,0.0,0.0
Motif_induced5_g_7_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_induced5_g_16_5_per_Cn5,0.0,0.0
Motif_induced5_g_16_5,0.0,0.0
Spectral_lap_eig_7,0.0,0.0
Spectral_lap_eig_5,0.0,0.0
Spectral_lap_eig_4,0.0,0.0
Spectral_lap_eig_3,0.0,0.0
Motif_wedges,0.0,0.0
Motif_triangles_per_Cn3,0.0,0.0
Motif_triangles,0.0,0.0
Motif_triangle_edge_incidence_std,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_triangle_edge_incidence_median,0.0,0.0
Motif_triangle_edge_incidence_mean,0.0,0.0
Motif_triangle_edge_frac_zero,0.0,0.0
Motif_triangle_edge_frac_ge2,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_4_cycles_per_Cn4,0.0,0.0
Spectral_lap_eig_8,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_induced5_g_11_5_per_Cn5,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_12_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5,0.0,0.0
Motif_induced5_g_11_5,0.0,0.0
Motif_5_cycles,0.0,0.0
Motif_induced5_g_10_5_per_Cn5,0.0,0.0
Motif_induced5_g_10_5,0.0,0.0
Motif_induced5_g_0_5_per_Cn5,0.0,0.0
Motif_induced5_g_0_5,0.0,0.0
Motif_5_cycles_per_Kn,0.0,0.0
Motif_5_cycles_per_Cn5,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
