decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,9,0,0.21818143,0.29302776,0.25067648,9,0.0,0.0,0.0
2,8,3,0.2943333,0.34411016,0.32511485,5,0.375,0.028037383177570093,0.028037383177570093
3,8,3,0.3629053,0.38998693,0.37796003,5,0.375,0.028037383177570093,0.056074766355140186
4,9,5,0.39143574,0.43213445,0.41115382,4,0.5555555555555556,0.04672897196261682,0.102803738317757
5,7,4,0.4375319,0.47856015,0.46331343,3,0.5714285714285714,0.037383177570093455,0.14018691588785046
6,9,6,0.49081773,0.55311817,0.5275669,3,0.6666666666666666,0.056074766355140186,0.19626168224299065
7,8,4,0.55518216,0.5790448,0.56344616,4,0.5,0.037383177570093455,0.2336448598130841
8,8,6,0.5819387,0.60967857,0.59565467,2,0.75,0.056074766355140186,0.2897196261682243
9,8,5,0.6181784,0.64352024,0.6337817,3,0.625,0.04672897196261682,0.3364485981308411
10,8,5,0.6446443,0.6681554,0.6542349,3,0.625,0.04672897196261682,0.38317757009345793
11,9,7,0.6695964,0.6957522,0.6790629,2,0.7777777777777778,0.06542056074766354,0.4485981308411215
12,8,7,0.70744205,0.7272678,0.720071,1,0.875,0.06542056074766354,0.514018691588785
13,8,3,0.72737676,0.753009,0.7366257,5,0.375,0.028037383177570093,0.5420560747663551
14,8,6,0.75335234,0.77159876,0.7633441,2,0.75,0.056074766355140186,0.5981308411214953
15,8,6,0.7747279,0.8044009,0.7939058,2,0.75,0.056074766355140186,0.6542056074766355
16,9,8,0.8150757,0.83764213,0.8265107,1,0.8888888888888888,0.07476635514018691,0.7289719626168224
17,7,6,0.8452922,0.8630217,0.8542346,1,0.8571428571428571,0.056074766355140186,0.7850467289719626
18,9,8,0.8634077,0.874207,0.8678291,1,0.8888888888888888,0.07476635514018691,0.8598130841121495
19,8,7,0.87444466,0.901814,0.88853854,1,0.875,0.06542056074766354,0.9252336448598131
20,8,8,0.9029567,0.9342743,0.91589576,0,1.0,0.07476635514018691,1.0
