feature,importance,mean_signed_shap
Motif_induced_g_4_4,0.7050731,0.1334251
Motif_induced5_g_2_5,0.29016927,-0.011360844
Motif_induced_g_1_4,0.24260302,0.027801964
Motif_triangle_edge_frac_zero,0.20591313,0.01775454
Motif_induced5_g_18_5,0.16271652,-0.0075242277
Motif_induced_g_3_4,0.13578112,-0.009719449
Motif_4_cycles,0.09666415,-0.038482293
Motif_induced5_g_5_5,0.07950638,0.002682645
Motif_induced5_g_11_5,0.04635416,-0.00064733817
Motif_induced5_g_1_5,0.045114655,-0.00043501455
Motif_induced5_g_15_5,0.04235555,0.011247728
Motif_induced_connected_per_5set,0.038586468,-0.008216622
Motif_induced5_g_4_5,0.026063727,-0.0006398396
Motif_induced_g_2_4,0.011005727,-0.0024734398
Motif_triangle_edge_incidence_std,0.0054282486,-3.0040097e-05
Motif_5_cycles,0.0029934067,-0.0006875574
Motif_induced5_g_9_5,0.0026483138,0.00015240343
Motif_induced5_g_5_5_per_Cn5,0.0,0.0
Motif_induced5_g_1_5_per_Cn5,0.0,0.0
Motif_induced5_g_4_5_per_Cn5,0.0,0.0
Motif_induced5_g_2_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced5_g_3_5,0.0,0.0
Motif_induced5_g_6_5,0.0,0.0
Motif_induced5_g_3_5_per_Cn5,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_induced5_g_6_5_per_Cn5,0.0,0.0
Motif_induced5_g_7_5,0.0,0.0
Motif_induced5_g_7_5_per_Cn5,0.0,0.0
Motif_induced5_g_8_5,0.0,0.0
Motif_induced5_g_9_5_per_Cn5,0.0,0.0
Motif_induced_g_1_4_per_Cn4,0.0,0.0
Motif_induced_g_2_4_per_Cn4,0.0,0.0
Motif_induced_g_3_4_per_Cn4,0.0,0.0
Motif_induced_g_4_4_per_Cn4,0.0,0.0
Motif_induced_g_5_4,0.0,0.0
Motif_induced_g_5_4_per_Cn4,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_induced5_g_8_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_18_5_per_Cn5,0.0,0.0
Motif_5_cycles_per_Kn,0.0,0.0
Motif_4_cycles_per_Cn4,0.0,0.0
Motif_induced_connected_per_4set,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_triangle_edge_frac_ge2,0.0,0.0
Motif_triangle_edge_incidence_mean,0.0,0.0
Motif_triangle_edge_incidence_median,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_triangles,0.0,0.0
Motif_triangles_per_Cn3,0.0,0.0
Motif_wedges,0.0,0.0
Motif_wedges_per_max,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_5_cycles_per_Cn5,0.0,0.0
Motif_induced5_g_0_5,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_0_5_per_Cn5,0.0,0.0
Motif_induced5_g_10_5,0.0,0.0
Motif_induced5_g_10_5_per_Cn5,0.0,0.0
Motif_induced5_g_11_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5,0.0,0.0
Motif_induced5_g_12_5_per_Cn5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_induced5_g_15_5_per_Cn5,0.0,0.0
Motif_induced5_g_16_5,0.0,0.0
Motif_induced5_g_16_5_per_Cn5,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
