Motif_4_cliques,Motif_4_cliques_per_Cn4,Motif_4_cycles,Motif_4_cycles_per_Cn4,Motif_induced_connected_per_4set,Motif_square_clustering_proxy,Motif_triangle_edge_frac_ge2,Motif_triangle_edge_frac_zero,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_incidence_std,Motif_triangles,Motif_triangles_per_Cn3,Motif_wedges,Motif_wedges_per_max,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Motif_5_cliques,Motif_5_cliques_per_Cn5,Motif_5_cycles,Motif_5_cycles_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_10_5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_1_5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_20_5,Motif_induced5_g_20_5_per_Cn5,Motif_induced5_g_2_5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5,Motif_induced5_g_9_5_per_Cn5,Motif_induced_connected_per_5set,Motif_induced_g_1_4,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4,Motif_induced_g_6_4_per_Cn4,sample_index
0.0,0.0,0.06290402,0.003338689,0.02672553,0.0,0.002906418,0.015039026,0.0,-0.0013214443,0.0,0.013037234,0.00010760598,0.00040972073,0.005271394,0.015100205,0.029408935,0.46964827,-0.23234229,0.026495583,0.012072092,0.08159406,0.10795016,-0.01671291,0.00043169083,0.00559706,0.0,0.0,0.00795576,0.0020571703,0.0017231007,0.0,0.0,0.0010819465,0.0,-0.0026950492,0.00013441133,0.0,0.0,0.0,0.0,0.0,0.0,0.024352314,-0.005312346,0.0039733546,0.0,0.0,0.0,0.0013610659,0.001953368,0.08912886,0.018592443,0.0,0.0,-0.003179145,0.019809535,-0.005599518,-0.0020135124,0.011516855,0.0014647383,0.010158984,0.005246546,0.005183788,-0.0005440735,-0.0016656589,0.0,0.014917049,0.006298383,-0.027065648,-0.0002749737,-0.022678588,-0.18273999,-0.011135954,-0.0021193996,-0.0028035971,-0.0021756028,-0.0036953848,0.17811684,0.084469795,0.0,0.0,0.0,0.0,0
0.0,0.0,0.068563335,0.012575653,0.0052338517,0.0,-0.0068843733,0.02558648,0.0,-0.0013214443,0.0,0.019774731,0.00010760598,0.00040972073,0.000103659055,-0.0031515073,0.023908213,0.64054936,-0.029233923,0.02280065,0.031088432,0.12474652,0.106564134,0.064367734,9.305985e-05,0.0057352493,0.0,0.0,0.00795576,0.0020571703,0.0017231007,0.0,0.0,0.0019776933,0.0,-0.007107944,-0.0019059917,0.0,0.0,0.0,0.0,0.0,0.0,0.027352218,-0.0081189135,0.0039733546,0.0,0.0,0.0,0.0013610659,0.0034364935,-0.018941313,0.0033653148,0.0,0.0,0.009934127,0.024672093,-0.010117565,-0.0020135124,0.005342562,0.0014647383,0.01265869,0.004978763,0.006525591,-0.0005440735,-0.004569129,0.0,0.017073208,0.00724672,0.0026032678,-0.0008190822,0.011402557,-0.20957895,-0.011783978,0.024335109,0.001001072,0.0047028475,-0.0030912957,0.0054648593,-0.00041948984,0.0,0.0,0.0,0.0,1
0.0,0.0,0.072681405,-0.0006778237,0.032434765,0.0,-0.009223599,0.018286364,0.0,-0.0013214443,0.0,0.015855907,0.00010760598,0.0007091626,0.011295653,0.015100205,-0.00918929,0.5366879,0.022615163,-0.009421624,-0.010581482,0.12533154,0.12512483,0.04152134,0.0012367654,-0.0007423952,0.0,0.0,0.0067393244,0.0020571703,0.0017231007,0.0,0.0,-0.024899552,0.0,-0.0028642307,0.0017210892,0.0,0.0,0.0,0.0,0.0,0.0,0.02845241,0.0335673,0.0016459988,0.0,0.0,0.0,0.0013610659,0.0017134354,-0.018338962,0.0009243774,0.0,0.0,-0.032010674,-0.023525637,-0.0065223766,-0.0015937147,0.003990216,0.00062321906,0.013429253,0.004654851,0.0044900505,-0.0003143536,-0.0018981609,0.0,0.010683282,0.0059907446,-0.051725138,-0.00038385775,-0.0037620165,-0.17421359,-0.013174432,0.0008617573,0.0029951453,0.0023703077,0.006613779,0.24403234,0.1173455,0.0,0.0,0.0,0.0,2
0.0,0.0,0.06638,0.0025804779,0.026726708,0.0,-0.015506901,0.01973119,0.0,-0.0013214443,0.0,0.017948981,0.00010760598,0.0007091626,-0.0017649785,-0.0037019984,0.02451122,0.43689254,0.024731353,-0.028027488,-0.011568678,-0.14144619,0.12130295,0.039866053,0.0017321751,0.0058347164,0.0,0.0,0.0071129524,0.0015204637,0.00074032816,0.0,0.0,0.00051120657,0.0,-0.0031039137,1.3471057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.026548242,0.0025204122,0.0022530588,0.0,0.0,0.0,0.0022064869,0.0040022414,0.11175701,0.037927266,0.0,0.0,0.02058356,0.015294804,-0.0067251683,-0.0015937147,0.005293755,-0.0067992625,0.022884503,0.0074943705,0.0047829933,-0.0003143536,-0.0016009375,0.0,-0.09352607,-0.03759451,0.0607157,0.0139035145,-0.00751708,-0.23099943,-0.014532918,-0.004801881,0.0034886634,0.0026534975,0.010732695,0.19377744,0.051020518,0.0,0.0,0.0,0.0,3
0.0,0.0,0.072539404,0.013450239,0.02870549,0.0,-0.012014764,0.027453927,0.0,-0.0013214443,0.0,0.019471616,0.0002226455,0.0008230545,-0.0011376685,-0.0031515073,0.022434037,0.6311805,0.15186739,0.026213653,-0.010850392,0.13898528,0.11388293,0.014903397,0.0012323209,-0.0007423952,0.0,0.0,0.00795576,0.0007570025,0.0017231007,0.0,0.0,0.007134474,0.0,0.0028855796,-0.0010765499,0.0,0.0,0.0,0.0,0.0,0.0,-0.010948372,-0.000186363,0.0039733546,0.0,0.0,0.0,0.0013610659,0.0019306124,-0.018973865,0.004284057,0.0,0.0,0.021302193,0.018872917,-0.0066608735,-0.0015454165,0.0050711455,0.0014647383,0.024731142,0.010752433,0.006525591,-0.0005440735,-0.003043818,0.0,0.016739234,0.00724672,0.0021290933,-0.0010261599,0.010663183,-0.22055173,-0.017939445,-0.004352771,0.0035842431,-0.017018747,-0.012027506,0.17424585,0.07416036,0.0,0.0,0.0,0.0,4
0.0,0.0,-0.065978475,-0.02842008,-0.030128293,0.0,0.016516075,0.027169665,0.0,0.0024420873,0.0,0.025420628,0.00064491155,0.0020840624,-0.00352999,-0.005923078,-0.020300722,0.33152553,0.14709929,0.0034378003,-0.019848138,-0.17366785,-0.048037563,0.0038575865,0.0020072542,0.001833047,0.0,0.0,-0.023018874,-0.003116955,0.0007289898,0.0,0.0,-0.0013301646,0.0,0.00082315935,-0.0008106991,0.0,0.0,0.0,0.0,0.0,0.0,0.019811342,0.049252976,0.0039733546,0.0,0.0,0.0,0.005529941,0.0050059147,-0.034826424,-0.010279229,0.0,0.0,0.013264552,0.026053092,-0.016902559,-0.0015356579,0.00043096265,0.0014647383,0.0016703795,0.0019719866,0.008687068,-0.00034523552,-0.00542836,0.0,0.013150234,0.0068495413,-0.0009311796,-0.0039672554,0.010703327,0.11588841,0.004147183,0.019281385,-0.0022639935,-0.018675797,-0.009396667,-0.071765244,-0.010156015,0.0,0.0,0.0,0.0,5
0.0,0.0,0.07228775,0.0034832999,0.0314785,0.0,-0.011000617,0.021266516,0.0,-0.0013214443,0.0,0.017979221,0.00012564354,0.0008230545,0.011295653,0.015100205,0.017705673,0.58097345,0.13980052,-0.0027722507,-0.0069010067,0.12701768,0.09537344,0.03418553,0.0015709519,0.007212631,0.0,0.0,0.00795576,0.0009640802,0.0017231007,0.0,0.0,0.007134474,0.0,-0.0028642307,0.0017210892,0.0,0.0,0.0,0.0,0.0,0.0,-0.012628212,0.0006014772,0.0031801146,0.0,0.0,0.0,0.0013610659,0.0032193167,-0.018973865,0.003394913,0.0,0.0,-0.002342139,-0.045311254,-0.0066921967,-0.0011203568,0.0029152706,0.0014647383,0.0065537468,0.0021389588,0.0050838124,-0.00031151978,0.022796452,0.0,0.015817655,0.00724672,-0.05202321,-0.00038385775,-0.0012322641,-0.1945241,-0.013327689,0.0010189282,0.0035842431,0.0037581555,0.010565841,0.20562172,0.09776988,0.0,0.0,0.0,0.0,6
0.0,0.0,-0.13710937,-0.018818866,0.0036874837,0.0,-0.0044030934,0.023668306,0.0,-0.0013214443,0.0,0.020490313,0.0002226455,0.0008230545,-0.0017649785,-0.0073661236,-0.00487478,0.39806527,0.13969015,-0.0029388638,-0.016156934,-0.23445782,0.08882688,0.018705748,-0.0003752087,-0.016029404,0.0,0.0,0.002666194,-0.00085533335,0.00072295486,0.0,0.0,-0.024899552,0.0,0.0023776132,-0.002392225,0.0,0.0,0.0,0.0,0.0,0.0,-0.012854941,-0.009341783,0.0039733546,0.0,0.0,0.0,0.0022064869,0.0026893923,-0.03767356,-0.030594045,0.0,0.0,0.01724009,0.023121642,0.03971132,0.0031691603,-0.0049767476,0.00062321906,-0.015225131,-0.0295865,0.004827486,-0.00020946568,-0.0058591883,0.0,0.014258795,0.0055935658,-0.010575492,-0.0038697948,-0.054667093,-0.21956338,-0.016304765,-0.009259784,0.001133664,-0.019151734,-0.013079714,-0.004127549,-0.007733236,0.0,0.0,0.0,0.0,7
0.0,0.0,0.072033234,0.006184767,0.038919553,0.0,-0.0040126396,0.0232815,0.0,-0.0013214443,0.0,0.016295552,0.00010760598,0.00066022447,0.011857338,0.015100205,0.021136595,0.54609334,-0.0122828195,-0.009372345,0.005169564,0.12740944,0.113257386,0.051217243,0.0008607337,0.006660205,0.0,0.0,0.0069871424,0.0020571703,0.00044892277,0.0,0.0,0.0008326779,0.0,-0.0026950492,-0.001673372,0.0,0.0,0.0,0.0,0.0,0.0,0.030400341,0.034907416,-0.009940045,0.0,0.0,0.0,0.002316341,0.0012790228,-0.016521966,0.0004657561,0.0,0.0,-0.046182457,-0.051890023,-0.0065223766,-0.0020135124,0.0045457343,0.00062024896,-0.006868072,-0.01962817,0.0035362598,-0.0005440735,-0.0021573494,0.0,-0.064615704,-0.04645199,-0.0020262362,-0.00038385775,-0.005032802,0.10724042,0.005679179,0.0017267046,0.0041923057,0.009696126,0.004720239,0.26934558,0.110647894,0.0,0.0,0.0,0.0,8
0.0,0.0,0.06840447,-0.004894883,0.0286274,0.0,-0.005831781,0.02717681,0.0,-0.0013214443,0.0,0.020721812,0.00064491155,0.0008230545,0.011857338,0.015100205,0.026875138,0.59325266,0.153071,0.030573122,0.0049419077,0.13601346,-0.049754895,0.035844505,0.0012004313,0.0033547229,0.0,0.0,0.00795576,0.0013663741,0.0017231007,0.0,0.0,0.0019776933,0.0,0.002964526,-1.7259095e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.010948372,0.0006014772,0.0039733546,0.0,0.0,0.0,-0.0041474868,-0.006086812,-0.01852065,0.004433302,0.0,0.0,0.022469664,0.021265743,-0.010171269,-0.001898137,0.012254812,0.0014647383,0.026093883,0.012077932,0.006525591,-0.0005440735,-0.0021573494,0.0,0.015734026,0.00724672,0.0046270336,-0.001090702,-0.003172433,-0.22091888,-0.018530294,0.00020419076,0.0035842431,0.0025578565,0.011456867,0.23875973,0.09700735,0.0,0.0,0.0,0.0,9
