decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,9,1,0.13102025,0.24065645,0.19972458,8,0.1111111111111111,0.009345794392523364,0.009345794392523364
2,8,0,0.24163777,0.3018748,0.27048796,8,0.0,0.0,0.009345794392523364
3,8,5,0.30235475,0.3879402,0.351029,3,0.625,0.04672897196261682,0.056074766355140186
4,8,3,0.39202312,0.45581833,0.4170049,5,0.375,0.028037383177570093,0.08411214953271028
5,8,7,0.46715188,0.5096372,0.4898464,1,0.875,0.06542056074766354,0.14953271028037382
6,9,3,0.5124394,0.5632623,0.5368383,6,0.3333333333333333,0.028037383177570093,0.17757009345794392
7,8,5,0.57128865,0.6153941,0.5835144,3,0.625,0.04672897196261682,0.22429906542056074
8,8,4,0.615654,0.6451202,0.62586045,4,0.5,0.037383177570093455,0.2616822429906542
9,8,7,0.6512731,0.7104298,0.691966,1,0.875,0.06542056074766354,0.32710280373831774
10,8,6,0.71466184,0.73331046,0.726533,2,0.75,0.056074766355140186,0.38317757009345793
11,9,6,0.7353437,0.76374066,0.7482642,3,0.6666666666666666,0.056074766355140186,0.4392523364485981
12,8,6,0.7668272,0.783634,0.77638876,2,0.75,0.056074766355140186,0.4953271028037383
13,8,5,0.7877484,0.80151755,0.7950849,3,0.625,0.04672897196261682,0.5420560747663551
14,8,6,0.8022967,0.8155957,0.80912894,2,0.75,0.056074766355140186,0.5981308411214953
15,8,7,0.8239606,0.8376355,0.8296207,1,0.875,0.06542056074766354,0.6635514018691588
16,9,5,0.8386721,0.85799074,0.84914297,4,0.5555555555555556,0.04672897196261682,0.7102803738317757
17,8,8,0.86132646,0.8697936,0.8659457,0,1.0,0.07476635514018691,0.7850467289719626
18,8,8,0.8703649,0.87721163,0.8733721,0,1.0,0.07476635514018691,0.8598130841121495
19,8,7,0.8812072,0.8928984,0.8867984,1,0.875,0.06542056074766354,0.9252336448598131
20,8,8,0.8936456,0.92025536,0.90777755,0,1.0,0.07476635514018691,1.0
