feature,importance,mean_signed_shap
Spectral_lap_eig_1,0.53582364,0.03551439
Spectral_lap_eig_2,0.24252915,7.422841e-05
Motif_induced_g_1_4,0.14636582,0.012732471
Spectral_lap_eig_5,0.14506443,0.01416337
Centrality_closeness_mean,0.12761293,0.017184617
Centrality_eigenvector_max,0.11473079,0.016957218
Spectral_lap_eig_6,0.084465966,0.013455587
Centrality_eigenvector_mean,0.07325904,-0.0018843918
Centrality_betweenness_max,0.068070665,0.008245496
Motif_induced_g_4_4,0.06734317,0.0125618065
Motif_induced_g_1_4_per_Cn4,0.06233687,0.0057005063
Centrality_closeness_skew,0.059882764,-0.00042305523
Centrality_eigenvector_skew,0.058571145,0.0012839214
Motif_induced5_g_2_5,0.057324428,0.00018332781
Motif_triangle_edge_frac_zero,0.056516774,0.0036459488
Motif_4_cycles,0.052842677,-0.002889084
Motif_induced5_g_1_5,0.047673658,0.0033195338
Spectral_lap_eig_0,0.04480267,0.0035810936
Centrality_closeness_mean_norm,0.04461387,0.0077969483
Motif_induced5_g_15_5,0.04092602,0.0054662707
Spectral_lap_eig_3,0.0374469,-0.0013933664
Motif_triangle_edge_incidence_std,0.035454188,0.004315665
Motif_induced_g_4_4_per_Cn4,0.027832171,0.0050783656
Spectral_lap_eig_7,0.026596185,0.0066522877
Centrality_eigenvector_std,0.026091652,0.0020195963
Spectral_lap_eig_8,0.0228313,0.0007988367
Motif_induced5_g_8_5,0.021761583,0.0011521216
Motif_induced5_g_5_5,0.020199409,0.000931002
Motif_induced5_g_1_5_per_Cn5,0.019805478,-0.0007040164
Centrality_betweenness_std,0.01880037,0.000773482
Motif_induced5_g_2_5_per_Cn5,0.017493034,-0.00013243973
Centrality_betweenness_mean,0.017338077,0.004731427
Motif_induced_g_3_4,0.016400974,0.0026227364
Spectral_lap_eig_4,0.016098332,0.0026437321
Motif_induced5_g_3_5,0.015410406,4.0569626e-05
Motif_induced_connected_per_4set,0.013896125,0.0015318367
Motif_4_cycles_per_Cn4,0.013865294,-0.0014309264
Motif_induced5_g_18_5,0.01362222,-0.0011100713
Motif_induced_connected_per_5set,0.012394866,0.0015455394
Motif_induced5_g_15_5_per_Cn5,0.010584588,0.00096284033
Centrality_betweenness_skew,0.010410283,0.00074180745
Spectral_lap_eig_9,0.010376508,-0.00079849944
Motif_induced5_g_9_5,0.009655988,-0.00027352865
Motif_induced5_g_11_5,0.009315298,-0.00041953498
Motif_induced5_g_6_5,0.009221827,1.0510929e-05
Motif_induced5_g_4_5,0.008670292,0.0014308167
Motif_induced5_g_10_5,0.007546967,-0.00039673792
Centrality_closeness_std,0.0069495114,0.00029005084
Motif_triangle_edge_frac_ge2,0.0069014044,-0.0006316163
Motif_induced5_g_8_5_per_Cn5,0.0068950793,0.0007318871
Motif_induced_g_2_4,0.0066070384,0.0014231784
Motif_induced_g_2_4_per_Cn4,0.0064469883,0.0013709438
Motif_wedges,0.0058608586,-0.00044164035
Motif_induced5_g_5_5_per_Cn5,0.0057700793,0.0014119834
Motif_induced5_g_10_5_per_Cn5,0.005366828,-0.00049644744
Motif_induced5_g_3_5_per_Cn5,0.0048582833,-0.00024162055
Motif_induced_g_3_4_per_Cn4,0.0046925894,0.00066483376
Motif_induced5_g_9_5_per_Cn5,0.0040794867,-0.00018188442
Motif_induced5_g_11_5_per_Cn5,0.0038624827,-3.8994687e-05
Motif_induced5_g_18_5_per_Cn5,0.0036600472,-7.520801e-05
Motif_induced5_g_6_5_per_Cn5,0.0034571264,1.5051122e-05
Motif_induced5_g_4_5_per_Cn5,0.0026139999,0.0005751742
Motif_triangle_edge_incidence_median,0.0023124865,-0.0004282998
Motif_5_cycles,0.0017014927,0.00014603074
Motif_induced_g_5_4,0.0016948881,-0.00016296159
Motif_wedges_per_max,0.0014573991,-0.00015865259
Motif_induced5_g_7_5,0.0012874585,0.00023819867
Motif_induced5_g_16_5,0.0012703445,-0.0001319985
Motif_induced5_g_7_5_per_Cn5,0.0010637894,-0.0001295292
Motif_triangles_per_Cn3,0.0010086264,0.00031792666
Motif_5_cycles_per_Cn5,0.0009860522,8.3945255e-05
Motif_induced_g_5_4_per_Cn4,0.00063015864,-0.00016139768
Motif_triangle_edge_incidence_mean,0.0005672198,1.9597048e-05
Motif_5_cycles_per_Kn,0.00031435612,4.4394164e-05
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_triangles,0.0,0.0
Centrality_closeness_max,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
Centrality_closeness_max_norm,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_induced5_g_12_5_per_Cn5,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_0_5,0.0,0.0
Motif_induced5_g_0_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_16_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_4_cliques,0.0,0.0
