n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_auc,std_auc,error,timestamp
807,6,0.23611039007910314,0.8387400631785948,0.7783331011414365,0.9997491581800291,4.592488919658672,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.656966
367,5,0.19875765715516736,0.6225646316108401,0.88879950890673,9.385527090157504,0.007787658410143285,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.657217
993,13,0.18737941654160148,0.6028265220878869,0.6092249700165663,5.247746602583892,3.998609717152556,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.657432
94,20,0.07750368872478823,0.6362425738131283,0.847354403733235,3.8246199126716283,9.832308858067885,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.6576772
493,18,0.20728918619045614,0.7801997007878172,0.6053059844639466,9.42201755684853,5.632882178455394,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.6579561
416,3,0.07695920943042321,0.6964101864104046,0.8733054075301834,6.09996657782621,8.331949117361646,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.658171
215,10,0.06284846545853807,0.9021445641270611,0.7700623497964979,2.079416628681889,5.677003278199916,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.65836
80,17,0.14042869867723207,0.7580600944007259,0.9706635463175177,7.27271995856421,3.2654076880583545,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.658546
592,12,0.2887398870613113,0.9378135394712607,0.8989280440549523,5.3969213238907985,5.8675116566384835,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.658724
967,13,0.09003976278653758,0.718509402281633,0.666106775625201,0.15636406741193934,4.234014807063698,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.658905
852,20,0.035747729951298886,0.9889218762507566,0.9672268234057115,9.136423663530472,0.009431290653613146,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.683489
132,6,0.2922194479755943,0.9755610219895651,0.9870084405215183,0.24438979042209158,0.17443987826222254,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.708933
862,3,0.29078259018380054,0.615708907575412,0.6046407889679821,9.603035437510458,0.6647266608440517,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.733859
54,3,0.2781741795440918,0.9670658807300085,0.6450560072505284,1.0980957455343656,9.692823294169797,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.8021288
923,4,0.014844516237969875,0.9959006307047358,0.6911454003451837,9.165351868173365,8.793103102475454,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.82813
951,20,0.015363326973280094,0.6362034504985588,0.9886380438627179,9.869029846733202,1.2085727954509486,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.8544362
59,5,0.032612434575981904,0.6100199033936156,0.9490443524832213,0.12412911579135713,0.29397160523803373,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.884265
894,16,0.29760838520449434,0.6182418123177287,0.9864494832614555,4.426923425743453,9.80642562053309,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.9145558
121,19,0.06982438686417433,0.9776122948657963,0.6043352557174306,9.762787745397915,8.888353278535922,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.945146
986,5,0.01787697866316902,0.9633580277325982,0.9814148759887734,0.21041925898562577,4.194647269864903,,,"Found array with 0 sample(s) (shape=(0,)) while a minimum of 1 is required.",1761415118.976512
