decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,7663,0,4.6884645e-05,0.0003032066,0.00017637813,7663,0.0,0.0,0.0
2,7663,0,0.00030323377,0.0013734153,0.00067131454,7663,0.0,0.0,0.0
3,7662,11,0.0013734638,0.0071003973,0.0036407355,7651,0.0014356564865570347,0.00021457971636462946,0.00021457971636462946
4,7663,105,0.007100468,0.020528661,0.013055367,7558,0.013702205402583845,0.0020482609289350995,0.002262840645299729
5,7662,262,0.020530084,0.043876793,0.03136806,7400,0.034194727225267556,0.005110898698866629,0.0073737393441663576
6,7663,508,0.04387842,0.07650769,0.05953364,7155,0.06629257470964374,0.009909681446657433,0.01728342079082379
7,7663,808,0.076523736,0.116484135,0.09568127,6855,0.10544173300274044,0.015761855529329145,0.03304527632015293
8,7662,1206,0.11648683,0.1625392,0.1389691,6456,0.15740015661707127,0.023525739812340286,0.05657101613249321
9,7663,1567,0.16254091,0.21279351,0.18736096,6096,0.2044891034842751,0.030567855958488578,0.08713887209098178
10,7662,1978,0.21280348,0.2645144,0.2384943,5684,0.25815713912816496,0.038585334451748825,0.12572420654273062
11,7663,2453,0.26452482,0.31947136,0.29189545,5210,0.32010961764322066,0.04785127674931237,0.17357548329204298
12,7663,2833,0.3194819,0.37460107,0.34690437,4830,0.36969855148114317,0.055264030587363205,0.22883951387940618
13,7662,3209,0.37460294,0.43285307,0.4036437,4453,0.4188201513965022,0.06259875543764508,0.29143826931705125
14,7663,3653,0.43285468,0.4936874,0.46285027,4010,0.47670625081560747,0.07125997307999922,0.36269824239705045
15,7662,4051,0.49369088,0.55770963,0.52515763,3611,0.5287131297311407,0.07902385736301036,0.4417220997600608
16,7663,4444,0.55772704,0.62627435,0.591165,3219,0.5799295315150724,0.0866902054113103,0.5284123051713712
17,7663,4950,0.626276,0.70334095,0.66398877,2713,0.6459611118360955,0.09656087236408326,0.6249731775354544
18,7662,5509,0.7033442,0.7927266,0.74665046,2153,0.7190028713129731,0.10746542340479488,0.7324386009402494
19,7663,6318,0.79274935,0.9111277,0.84816456,1345,0.8244812736526165,0.12324678618106627,0.8556853871213157
20,7662,7398,0.91115713,0.99972516,0.9668298,264,0.9655442443226312,0.14431461287868444,1.0000000000000002
