decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,7664,0,1.3428865e-10,6.2767376e-06,1.9163997e-06,7664,0.0,0.0,0.0
2,7662,0,6.2825643e-06,4.2375686e-05,1.9928471e-05,7662,0.0,0.0,0.0
3,7662,0,4.2407544e-05,0.00021082877,0.000105734805,7662,0.0,0.0,0.0
4,7663,2,0.00021087058,0.0010906601,0.0005374928,7661,0.00026099438862064463,3.901449388447808e-05,3.901449388447808e-05
5,7662,18,0.0010906819,0.004621893,0.0024949855,7644,0.0023492560689115116,0.00035113044496030277,0.00039014493884478087
6,7663,105,0.004622172,0.015041125,0.009050438,7558,0.013702205402583845,0.0020482609289350995,0.0024384058677798803
7,7663,284,0.015044968,0.03683365,0.024927795,7379,0.037061203184131544,0.0055400581315958874,0.007978463999375768
8,7662,608,0.03684016,0.07123121,0.05282316,7054,0.07935264943878882,0.011860406140881338,0.019838870140257106
9,7663,1000,0.07123425,0.12024187,0.0945271,6663,0.13049719431032233,0.019507246942239043,0.03934611708249615
10,7662,1498,0.120241955,0.18219687,0.1504361,6164,0.195510310623858,0.029221855919474085,0.06856797300197023
11,7663,2029,0.18219766,0.25694272,0.21876597,5634,0.264778807255644,0.039580204045803015,0.10814817704777324
12,7663,2661,0.2569436,0.34392664,0.2995164,5002,0.3472530340597677,0.05190878411329809,0.16005696116107132
13,7662,3322,0.3439283,0.43622506,0.38966873,4340,0.4335682589402245,0.0648030743421181,0.22486003550318942
14,7663,3883,0.43623963,0.53256756,0.48423305,3780,0.5067206055069816,0.0757466398767142,0.3006066753799036
15,7662,4446,0.5325702,0.6321223,0.58261454,3216,0.5802662490211433,0.08672921990519478,0.3873358952850984
16,7663,5000,0.6321241,0.7292658,0.6805672,2663,0.6524859715516116,0.09753623471119521,0.4848721299962936
17,7663,5560,0.7292701,0.8258848,0.7781368,2103,0.7255644003653922,0.10846029299884907,0.5933324229951427
18,7662,6210,0.8258933,0.9163727,0.87159944,1452,0.8104933437744715,0.12114000351130445,0.7144724265064472
19,7663,7020,0.9163855,0.9852608,0.95433176,643,0.9160903040584627,0.1369408735345181,0.8514133000409653
20,7662,7617,0.9852747,1.0,0.99640214,45,0.9941268598277212,0.14858669995903478,1.0
