feature,importance,mean_signed_shap
Spectral_lap_eig_2,0.8567066,0.06603653
Spectral_algebraic_connectivity,0.6571993,0.19304839
Spectral_lap_eig_3,0.58362967,0.21479817
Spectral_laplacian_heat_trace_t1.0,0.45423272,-0.013282879
Spectral_algebraic_connectivity_over_avgdeg,0.38117275,0.107569166
Spectral_adjacency_energy,0.36899966,0.0694023
Spectral_lap_eig_0,0.3670404,0.049347796
Spectral_laplacian_skew,0.29939556,0.05800548
Spectral_adjacency_estrada_index,0.29769552,0.12737696
Spectral_lap_eig_7,0.23368093,0.020764137
Spectral_adjacency_moment_4,0.21436597,0.10487293
Spectral_lap_eig_9,0.18794717,0.002137576
Spectral_laplacian_std,0.18179215,0.05336437
Spectral_lap_eig_8,0.1435808,-0.011688173
Spectral_lap_eig_1,0.09524133,0.019702112
Spectral_lap_eig_6,0.062870435,0.021363627
Spectral_laplacian_heat_trace_t2.0,0.042947855,0.015392382
Spectral_kirchhoff_index,0.025195329,0.011018143
Spectral_laplacian_heat_trace_t5.0,0.017982686,-0.0002539749
Spectral_laplacian_heat_trace_t1.0_per_node,0.0048855455,0.00018620017
Spectral_laplacian_heat_trace_t0.1_per_node,0.002620134,-6.8643865e-05
Spectral_laplacian_heat_trace_t0.5,0.0018953511,0.0007678646
Spectral_laplacian_heat_trace_t0.1,0.0013391146,0.0001129934
Spectral_lap_eig_5,0.0,0.0
Spectral_lap_eig_4,0.0,0.0
Spectral_laplacian_heat_trace_t5.0_per_node,0.0,0.0
Spectral_laplacian_mean,0.0,0.0
Spectral_spectral_gap_rel,0.0,0.0
Spectral_spectral_gap,0.0,0.0
Spectral_adjacency_moment_3,0.0,0.0
Spectral_adjacency_moment_2,0.0,0.0
